143,"SELECT TOP # u, g, r, i, z FROM Galaxy WHERE (htmid*# & #) < (# * #) 'A = #"
2019-01-07 15:26:00,1
2019-03-01 05:42:00,1
2019-04-05 16:58:00,1
2019-04-06 15:44:00,1
2019-04-19 11:11:00,1
2019-04-19 14:52:00,1
2019-04-19 16:52:00,1
2019-04-23 00:34:00,1
2019-04-24 19:18:00,1
2019-04-28 07:23:00,1
2019-05-09 23:29:00,1
2019-05-11 04:16:00,1
2019-05-27 13:43:00,1
2019-06-21 08:14:00,1
2019-06-21 18:41:00,1
2019-06-22 02:50:00,1
2019-06-28 16:26:00,1
2019-06-29 08:35:00,1
2019-07-01 17:08:00,1
2019-07-05 04:50:00,1
2019-07-05 18:20:00,1
2019-07-09 18:44:00,1
2019-07-11 16:24:00,1
2019-07-14 22:27:00,1
2019-07-15 21:05:00,1
2019-07-19 11:43:00,1
2019-07-21 06:19:00,1
2019-07-21 15:40:00,1
2019-07-21 18:21:00,1
2019-07-21 20:55:00,1
2019-07-22 22:59:00,1
2019-07-22 23:03:00,1
2019-07-23 13:49:00,1
2019-07-25 04:20:00,1
2019-07-25 16:36:00,1
2019-07-27 23:51:00,1
2019-07-28 21:34:00,1
2019-07-31 10:12:00,1
2019-07-31 21:21:00,1
2019-08-01 09:59:00,1
2019-08-02 09:11:00,1
2019-08-02 13:44:00,1
2019-08-02 15:56:00,1
2019-08-02 21:09:00,1
2019-08-02 22:29:00,1
2019-08-03 01:35:00,1
2019-08-03 13:16:00,1
2019-08-03 14:17:00,1
2019-08-04 08:15:00,1
2019-08-04 14:17:00,1
2019-08-04 16:52:00,1
2019-08-05 11:07:00,1
2019-08-06 01:50:00,1
2019-08-06 11:57:00,1
2019-08-06 18:05:00,1
2019-08-08 21:57:00,1
2019-08-09 15:35:00,1
2019-08-09 15:50:00,1
2019-08-09 21:30:00,1
2019-08-12 14:16:00,1
2019-08-12 22:43:00,1
2019-08-13 13:05:00,1
2019-08-13 13:07:00,1
2019-08-13 13:46:00,1
2019-08-14 18:03:00,1
2019-08-14 18:36:00,1
2019-08-14 23:57:00,1
2019-08-15 00:03:00,1
2019-08-15 00:27:00,1
2019-08-16 14:31:00,1
2019-08-20 02:26:00,1
2019-08-20 16:59:00,1
2019-08-20 21:16:00,1
2019-08-20 21:25:00,1
2019-08-21 15:03:00,1
2019-08-21 17:20:00,1
2019-08-21 17:24:00,1
2019-08-21 17:25:00,1
2019-08-21 19:52:00,1
2019-08-22 10:16:00,1
2019-08-22 18:07:00,1
2019-08-22 19:55:00,1
2019-08-22 23:11:00,1
2019-08-24 06:09:00,1
2019-08-24 20:05:00,1
2019-08-25 09:50:00,1
2019-08-25 10:04:00,1
2019-08-25 10:09:00,1
2019-08-25 10:47:00,1
2019-08-25 11:51:00,1
2019-08-25 19:03:00,1
2019-08-25 21:20:00,1
2019-08-26 00:49:00,1
2019-08-28 03:47:00,1
2019-08-29 03:21:00,1
2019-08-29 12:16:00,1
2019-08-29 12:33:00,1
2019-08-29 14:33:00,1
2019-08-29 15:53:00,1
2019-08-31 17:46:00,1
2019-08-31 20:43:00,1
2019-09-01 12:54:00,1
2019-09-03 15:40:00,1
2019-09-03 23:38:00,1
2019-09-05 06:21:00,1
2019-09-05 10:28:00,1
2019-09-06 15:19:00,1
2019-09-09 00:32:00,1
2019-09-09 18:42:00,1
2019-09-12 14:58:00,1
2019-09-14 12:43:00,1
2019-09-15 01:09:00,1
2019-09-15 07:36:00,1
2019-09-15 11:41:00,1
2019-09-15 19:45:00,1
2019-09-15 20:51:00,1
2019-09-16 22:09:00,1
2019-09-17 17:09:00,1
2019-09-17 17:55:00,1
2019-09-18 21:59:00,1
2019-09-19 09:04:00,1
2019-09-19 15:25:00,1
2019-09-22 19:49:00,1
2019-09-23 04:35:00,1
2019-09-24 01:10:00,1
2019-09-29 12:47:00,1
2019-09-29 16:49:00,1
2019-10-11 06:36:00,1
2019-10-16 03:40:00,1
2019-10-20 10:41:00,1
2019-10-24 19:17:00,1
2019-10-25 00:43:00,1
2019-10-25 11:49:00,1
2019-10-28 03:17:00,1
2019-10-28 10:12:00,1
2019-10-30 08:23:00,1
2019-10-30 18:22:00,1
2019-10-31 07:36:00,1
2019-11-02 20:45:00,1
2019-11-15 19:11:00,1
2019-12-18 19:51:00,1
2019-12-18 21:24:00,1
2019-12-27 04:05:00,1
