101,"select id, s.specObjID, plate, mjd, fiberid, ra, dec, z, bestobjid from MyDB.temp as t left join SpecObjAll as s on s.specobjid = t.specobjid order by id"
2019-07-27 00:43:00,1
2019-07-27 02:39:00,1
2019-07-27 02:40:00,1
2019-07-27 02:46:00,1
2019-07-27 02:50:00,1
2019-07-27 03:03:00,1
2019-07-27 03:06:00,1
2019-07-27 03:08:00,2
2019-07-27 03:25:00,1
2019-07-27 03:31:00,1
2019-07-27 03:33:00,1
2019-07-27 03:35:00,1
2019-07-27 03:36:00,1
2019-07-27 03:53:00,1
2019-07-27 04:14:00,2
2019-07-27 04:17:00,1
2019-07-27 17:18:00,1
2019-07-27 19:10:00,3
2019-07-27 19:27:00,1
2019-07-27 19:33:00,1
2019-07-27 19:37:00,1
2019-07-27 19:38:00,2
2019-07-27 19:51:00,1
2019-07-27 20:06:00,1
2019-07-28 01:49:00,1
2019-07-28 01:53:00,1
2019-07-28 01:54:00,1
2019-07-28 01:55:00,1
2019-07-28 01:57:00,1
2019-07-28 02:00:00,1
2019-07-28 02:02:00,3
2019-07-28 02:03:00,1
2019-07-28 02:05:00,2
2019-07-28 02:06:00,1
2019-07-28 02:07:00,2
2019-07-28 02:08:00,1
2019-07-28 02:10:00,1
2019-07-28 02:12:00,1
2019-07-28 02:13:00,1
2019-07-28 02:16:00,1
2019-07-28 02:17:00,3
2019-07-28 02:18:00,2
2019-07-28 02:20:00,1
2019-07-28 02:21:00,1
2019-07-28 02:24:00,1
2019-07-28 03:16:00,1
2019-07-29 03:17:00,1
2019-07-29 03:18:00,1
2019-07-29 03:19:00,1
2019-07-29 03:23:00,1
2019-07-29 03:24:00,2
2019-07-29 03:25:00,1
2019-07-29 03:26:00,1
2019-07-29 03:28:00,1
2019-07-29 16:28:00,1
2019-07-29 16:29:00,1
2019-07-29 16:30:00,1
2019-07-29 16:31:00,1
2019-07-29 18:03:00,1
2019-07-29 18:17:00,1
2019-07-29 18:41:00,1
2019-07-29 18:53:00,2
2019-07-29 19:02:00,1
2019-07-29 19:03:00,1
2019-07-29 19:04:00,1
2019-07-29 19:06:00,3
2019-07-29 19:10:00,1
2019-07-29 19:12:00,1
2019-07-29 19:37:00,1
2019-07-29 19:48:00,2
2019-07-29 19:53:00,1
2019-07-29 19:54:00,1
2019-07-30 00:06:00,2
2019-07-30 02:58:00,1
2019-07-30 02:59:00,1
2019-07-31 18:42:00,1
2019-08-08 02:52:00,1
2019-08-08 02:54:00,1
2019-08-08 02:57:00,1
2019-08-08 02:58:00,1
2019-08-08 02:59:00,1
2019-08-08 03:08:00,1
2019-08-08 03:10:00,1
