23,"select top # p.objid as name, p.ra, p.dec from photoobj p, specobj s where p.objid = s.bestobjid and (s.class = #) and s.z BETWEEN # AND #"
2019-01-27 02:31:00,1
2019-01-29 01:14:00,1
2019-03-10 03:17:00,1
2019-03-10 22:23:00,1
2019-04-01 00:02:00,4
2019-04-01 00:03:00,2
2019-04-02 08:01:00,1
2019-04-02 08:06:00,3
2019-04-02 08:10:00,3
2019-04-02 08:11:00,2
2019-04-02 08:12:00,3
2019-04-02 08:14:00,1
