5,"select logmass_max, rv_teff from apogeestar, stellarMassFSPSGranEarlyDust where rv_teff BETWEEN # and # AND rv_teff BETWEEN # and #"
2019-06-26 11:50:00,3
2019-06-26 12:13:00,1
2019-06-26 12:48:00,1
