2,"SELECT TOP # p.objID, p.type, p.obj, p.run, p.rerun, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE p.ra BETWEEN # AND # p.dec BETWEEN # AND #"
2019-05-01 01:24:00,1
2019-05-01 01:32:00,1
