2809,"SELECT p.specobjid, p.objid, p.ra, p.dec, p.run, p.rerun, p.camcol, p.field, s.z, p.psffwhm_z, p.psffwhm_i, p.psffwhm_r, p.psffwhm_g, p.psffwhm_u, p.expAB_z, p.expAB_i, p.expAB_r, p.expAB_g, p.expAB_u, p.expPhi_z, p.expPhi_i, p.expPhi_r, p.expPhi_g, p.expPhi_u, p.expRad_z, p.expRad_i, p.expRad_r, p.expRad_g, p.expRad_u, p.expFlux_z, p.expFlux_i, p.expFlux_r, p.expFlux_g, p.expFlux_u, p.expMag_z, p.expMag_i, p.expMag_r, p.expMag_g, p.expMag_u, p.petroRad_z, p.petroRad_i, p.petroRad_r, p.petroRad_g, p.petroRad_u, p.petroFlux_z, p.petroFlux_i, p.petroFlux_r, p.petroFlux_g, p.petroFlux_u, p.petroMag_z, p.petroMag_i, p.petroMag_r, p.petroMag_g, p.petroMag_u, p.petroR5#_z, p.petroR5#_i, p.petroR5#_r, p.petroR5#_g, p.petroR5#_u, p.petroR9#_z, p.petroR9#_i, p.petroR9#_r, p.petroR9#_g, p.petroR9#_u, p.rowc_z, p.rowc_i, p.rowc_r, p.rowc_g, p.rowc_u, p.colc_z, p.colc_i, p.colc_r, p.colc_g, p.colc_u, p.rowcErr_z, p.rowcErr_i, p.rowcErr_r, p.rowcErr_g, p.rowcErr_u, p.colcErr_z, p.colcErr_i, p.colcErr_r, p.colcErr_g, p.colcErr_u FROM PhotoPrimary AS p JOIN SpecPhoto AS s ON s.specobjid = p.specobjid WHERE p.specobjid = #"
2019-04-11 05:03:00,1
2019-04-11 05:04:00,1
2019-04-11 05:06:00,1
2019-04-11 05:10:00,3
2019-04-11 05:22:00,2
2019-04-11 05:23:00,5
2019-04-11 05:24:00,5
2019-04-11 05:25:00,5
2019-04-11 05:26:00,4
2019-04-11 05:28:00,5
2019-04-11 05:29:00,6
2019-04-11 05:30:00,3
2019-04-11 05:31:00,5
2019-04-11 05:32:00,5
2019-04-11 05:33:00,4
2019-04-11 05:34:00,1
2019-04-11 05:40:00,2
2019-04-11 05:41:00,1
2019-04-11 05:42:00,2
2019-04-11 05:43:00,3
2019-04-11 05:44:00,3
2019-04-11 05:45:00,4
2019-04-11 05:46:00,3
2019-04-11 05:47:00,2
2019-04-11 05:48:00,2
2019-04-11 05:49:00,4
2019-04-11 05:50:00,3
2019-04-11 05:51:00,3
2019-04-11 05:52:00,3
2019-04-11 05:53:00,2
2019-04-11 05:54:00,4
2019-04-11 05:55:00,3
2019-04-11 05:56:00,3
2019-04-11 05:57:00,3
2019-04-11 07:16:00,1
2019-04-11 07:17:00,3
2019-04-11 07:18:00,3
2019-04-11 07:19:00,3
2019-04-11 07:20:00,3
2019-04-11 07:21:00,3
2019-04-11 07:22:00,4
2019-04-11 07:23:00,4
2019-04-11 07:24:00,3
2019-04-11 07:25:00,3
2019-04-11 07:26:00,3
2019-04-11 07:27:00,3
2019-04-11 07:28:00,4
2019-04-11 07:29:00,3
2019-04-11 07:30:00,2
2019-04-11 07:31:00,3
2019-04-11 07:32:00,3
2019-04-11 07:33:00,4
