14,"select p.objID, p.petroMag_u, p.petroMag_r, t.K_M_K2#FE, t.K_M_FE, t.K_M_C from Galaxy as p left outer join TwoMassXSC as t on p.objID = t.objID where p.objid = # OR p.objid = # OR p.objid = # OR p.objid = # OR p.objid = # OR p.objid = # OR p.objid = # OR p.objid = # OR p.objid = # OR p.objid = # OR p.objid = # OR p.objid = # OR p.objid = # OR p.objid = # OR p.objid = # OR p.objid = # OR p.objid = # OR p.objid = # OR p.objid = # OR p.objid = # OR p.objid = # OR p.objid = # OR p.objid = # OR p.objid = # OR p.objid = # OR p.objid = # OR p.objid = # OR p.objid = # OR p.objid = # OR p.objid = # OR p.objid = # OR p.objid = # OR p.objid = #"
2019-11-22 03:19:00,1
2019-11-22 03:20:00,1
2019-11-22 03:35:00,1
2019-11-22 03:38:00,1
2019-11-22 03:39:00,1
2019-11-22 17:23:00,1
2019-11-22 17:28:00,1
2019-11-22 18:14:00,1
2019-11-22 18:16:00,2
2019-11-22 18:17:00,1
2019-11-22 18:18:00,1
2019-11-22 18:19:00,1
2019-11-22 18:23:00,1
