2,"SELECT TOP # p.objid, p.u, p.g, p.r, p.i, p.z, s.specobjid, s.class, s.z as redshift FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid where (s.class = #) OR (s.class = #)"
2019-11-07 22:08:00,1
2019-11-07 22:14:00,1
