37,"select top # p.objid as name, p.ra, p.dec from photoobj p"
2019-01-14 22:20:00,1
2019-01-18 07:24:00,1
2019-01-19 08:46:00,1
2019-01-31 16:00:00,1
2019-02-17 13:04:00,1
2019-02-24 13:59:00,1
2019-03-26 07:54:00,1
2019-04-02 07:54:00,1
2019-04-02 08:02:00,1
2019-04-02 08:07:00,1
2019-04-02 08:09:00,1
2019-04-02 08:17:00,1
2019-04-02 08:20:00,1
2019-04-09 04:06:00,1
2019-04-13 00:50:00,1
2019-05-14 13:31:00,1
2019-06-13 20:16:00,1
2019-06-13 20:17:00,1
2019-07-10 16:41:00,1
2019-07-10 16:42:00,1
2019-07-12 17:47:00,1
2019-07-12 17:49:00,1
2019-07-12 17:57:00,1
2019-07-12 18:55:00,2
2019-07-12 20:13:00,1
2019-07-24 21:59:00,1
2019-07-31 00:35:00,1
2019-09-03 01:05:00,1
2019-09-03 01:06:00,1
2019-09-19 19:54:00,1
2019-09-19 19:55:00,1
2019-09-20 14:33:00,1
2019-11-08 19:44:00,1
2019-11-14 22:39:00,1
2019-11-23 04:44:00,1
2019-11-29 02:05:00,1
