43,"SELECT p.specobjid, p.objid, p.ra, p.dec, p.run, p.rerun, p.camcol, p.field, p.expRad_r, s.z FROM PhotoPrimary AS p JOIN SpecPhoto AS s ON s.specobjid = p.specobjid WHERE p.specobjid = #"
2019-05-02 00:09:00,1
2019-05-02 00:10:00,4
2019-05-02 00:11:00,6
2019-05-02 00:12:00,6
2019-05-02 00:13:00,4
2019-05-08 17:39:00,2
2019-05-08 17:40:00,2
2019-05-08 17:41:00,4
2019-05-08 17:42:00,1
2019-05-08 17:43:00,4
2019-05-08 17:44:00,3
2019-05-08 17:45:00,2
2019-05-08 17:46:00,3
2019-05-08 17:48:00,1
