38,"SELECT TOP # specObjID, z, survey FROM SpecObj WHERE class = # AND zWarning = #"
2019-02-24 19:11:00,1
2019-02-25 21:54:00,1
2019-03-02 18:10:00,1
2019-03-05 11:07:00,1
2019-03-05 11:58:00,1
2019-03-05 12:53:00,1
2019-03-05 18:17:00,1
2019-03-06 16:07:00,1
2019-03-06 16:52:00,2
2019-03-06 16:53:00,1
2019-03-07 15:14:00,1
2019-03-08 10:41:00,1
2019-03-08 10:42:00,1
2019-03-09 09:28:00,1
2019-03-10 12:29:00,1
2019-03-10 13:25:00,1
2019-03-12 19:34:00,1
2019-03-13 10:03:00,1
2019-03-13 18:18:00,2
2019-03-13 18:19:00,1
2019-03-13 18:20:00,1
2019-03-13 18:22:00,1
2019-03-13 18:23:00,1
2019-03-15 11:38:00,1
2019-03-16 19:08:00,1
2019-03-16 19:10:00,1
2019-03-17 01:34:00,1
2019-03-18 20:43:00,1
2019-03-21 16:37:00,1
2019-03-21 16:40:00,2
2019-03-21 16:43:00,1
2019-03-28 19:17:00,1
2019-03-28 19:20:00,1
2019-05-04 13:37:00,2
