23,select objid from galaxy where galaxy.cmodelmag_g between # and #
2019-02-28 14:54:00,1
2019-02-28 14:55:00,1
2019-03-01 14:38:00,1
2019-03-01 14:39:00,1
2019-03-01 16:17:00,4
2019-03-01 16:25:00,1
2019-03-02 00:50:00,1
2019-03-02 00:51:00,1
2019-03-03 13:56:00,3
2019-03-03 16:27:00,1
2019-03-03 16:28:00,1
2019-03-04 23:50:00,3
2019-03-08 02:33:00,3
2019-03-08 02:34:00,1
