35,"SELECT TOP # p.g, p.r, p.u, p.i, p.z, p.dered_g, p.dered_r, p.l, p.b, p.extinction_g, p.extinction_r, p.extinction_u, p.extinction_i, p.extinction_z FROM PhotoPrimary as p WHERE p.clean = # and (b between # and #)"
2019-03-07 09:48:00,4
2019-03-07 09:49:00,5
2019-03-07 09:50:00,4
2019-03-07 09:51:00,5
2019-03-07 09:52:00,2
2019-03-07 09:53:00,15
