8,select top # * from [input_short]
2019-05-21 15:35:00,1
2019-05-21 15:41:00,1
2019-05-21 15:44:00,1
2019-05-21 16:04:00,1
2019-05-21 16:07:00,1
2019-05-21 16:08:00,1
2019-05-21 16:13:00,1
2019-05-21 16:15:00,1
