311,"SELECT DISTINCT p.ra, p.dec, p.run, p.rerun, p.camcol, p.field, p.z, p.mjd FROM PhotoObjAll AS p WHERE ( (p.ra between # and #) and (p.dec between # and #) )"
2019-05-29 21:17:00,100
2019-05-29 21:18:00,211
