148,"select so.z as spec_redshift, so.zErr as spec_redshift_err, class from Star as s full outer join SpecObj as so on s.objID = so.bestObjID where s.objID = #"
2019-05-08 12:03:00,1
2019-05-08 12:08:00,1
2019-05-08 12:10:00,2
2019-05-08 12:13:00,1
2019-05-08 12:18:00,2
2019-05-08 12:19:00,1
2019-05-08 12:20:00,1
2019-05-08 12:23:00,1
2019-05-08 12:24:00,3
2019-05-08 12:27:00,1
2019-05-08 12:28:00,1
2019-05-08 12:32:00,1
2019-05-08 12:33:00,2
2019-05-08 12:35:00,4
2019-05-08 12:36:00,4
2019-05-08 12:37:00,2
2019-05-08 12:38:00,1
2019-05-08 12:43:00,2
2019-05-08 12:44:00,1
2019-05-08 12:45:00,1
2019-05-08 12:48:00,1
2019-05-08 12:49:00,1
2019-05-08 12:52:00,1
2019-05-08 12:56:00,1
2019-05-08 13:00:00,1
2019-05-08 13:01:00,1
2019-05-08 13:02:00,1
2019-05-08 13:03:00,1
2019-05-08 13:04:00,2
2019-05-08 13:05:00,2
2019-05-08 13:06:00,3
2019-05-08 13:09:00,1
2019-05-08 13:10:00,1
2019-05-08 13:11:00,1
2019-05-08 13:12:00,2
2019-05-08 13:13:00,1
2019-05-08 13:14:00,1
2019-05-08 13:17:00,2
2019-05-08 13:20:00,1
2019-05-08 13:24:00,1
2019-05-08 13:25:00,1
2019-05-08 13:26:00,1
2019-05-08 13:27:00,1
2019-05-08 13:28:00,1
2019-05-08 13:29:00,3
2019-05-08 13:30:00,1
2019-05-08 13:31:00,2
2019-05-08 13:33:00,1
2019-05-08 13:35:00,4
2019-05-08 13:36:00,1
2019-05-08 13:37:00,4
2019-05-08 13:38:00,1
2019-05-08 13:39:00,1
2019-05-08 13:41:00,3
2019-05-08 13:42:00,2
2019-05-08 13:43:00,1
2019-05-08 13:44:00,1
2019-05-08 13:45:00,2
2019-05-08 13:46:00,1
2019-05-08 13:47:00,1
2019-05-08 13:49:00,1
2019-05-08 13:50:00,1
2019-05-08 13:52:00,3
2019-05-08 13:56:00,1
2019-05-08 13:57:00,2
2019-05-08 14:01:00,1
2019-05-08 14:02:00,1
2019-05-08 14:05:00,1
2019-05-08 14:07:00,1
2019-05-08 14:08:00,1
2019-05-08 14:13:00,2
2019-05-08 14:15:00,2
2019-05-08 14:18:00,1
2019-05-08 14:19:00,1
2019-05-08 14:20:00,1
2019-05-08 14:21:00,2
2019-05-08 14:22:00,1
2019-05-08 14:24:00,1
2019-05-08 14:25:00,2
2019-05-08 14:28:00,1
2019-05-08 14:30:00,1
2019-05-08 14:32:00,3
2019-05-08 14:33:00,1
2019-05-08 14:34:00,1
2019-05-08 14:35:00,1
2019-05-08 14:37:00,1
2019-05-08 14:41:00,2
2019-05-08 14:42:00,1
2019-05-08 14:46:00,1
2019-05-08 14:55:00,1
2019-05-08 14:56:00,1
2019-05-08 14:57:00,1
2019-05-08 14:58:00,1
2019-05-08 14:59:00,2
2019-05-08 15:02:00,1
2019-05-08 15:03:00,1
2019-05-08 15:04:00,1
2019-05-08 15:06:00,1
2019-05-08 15:11:00,2
2019-05-08 15:12:00,1
2019-05-08 15:15:00,1
2019-05-08 15:16:00,1
2019-05-08 15:17:00,1
2019-05-08 15:19:00,1
