42,"SELECT TOP # cast (str (p.ra, #, #) as float) as ra, cast (str (p.[dec], #, #) as float) as dec, p.psfMag_u, p.psfMag_g, p.psfMag_r, p.psfMag_i, p.psfMag_z, p.psfMagErr_u, p.psfMagErr_g, p.psfMagErr_r, p.psfMagErr_i, p.psfMagErr_z FROM ..PhotoObj AS p JOIN dbo.fGetObjFromRect (#, #, #, #) AS b ON p.objID = b.objID WHERE p.r < # AND (p.g - p.r) > # AND (p.g - p.r) < # AND (p.type = #) AND (p.flags & (dbo.fPhotoFlags (#) + dbo.fPhotoFlags (#) + dbo.fPhotoFlags (#) + dbo.fPhotoFlags (#) ) > #)"
2019-01-11 19:50:00,1
2019-01-19 13:17:00,1
2019-01-21 14:53:00,1
2019-01-22 19:21:00,1
2019-01-23 21:22:00,1
2019-01-24 20:45:00,1
2019-01-28 21:40:00,2
2019-01-28 21:41:00,1
2019-01-28 22:11:00,1
2019-02-01 13:59:00,1
2019-02-01 17:32:00,1
2019-02-07 14:27:00,1
2019-02-08 17:39:00,1
2019-02-08 17:41:00,1
2019-02-08 17:42:00,1
2019-02-19 14:44:00,1
2019-02-19 14:45:00,1
2019-02-19 14:50:00,1
2019-02-19 14:51:00,1
2019-02-19 14:55:00,2
2019-02-19 15:48:00,1
2019-02-19 16:14:00,1
2019-02-19 16:15:00,1
2019-02-19 16:16:00,1
2019-02-21 22:11:00,2
2019-02-22 13:59:00,2
2019-02-22 19:14:00,1
2019-02-23 18:08:00,1
2019-02-25 23:54:00,1
2019-02-26 01:05:00,1
2019-03-03 18:37:00,1
2019-03-03 18:38:00,1
2019-03-04 05:47:00,1
2019-03-12 15:45:00,1
2019-03-15 17:18:00,1
2019-05-06 13:48:00,1
2019-07-29 17:24:00,1
2019-09-10 23:53:00,1
