76,"select p.objid as name, p.ra, p.dec from galaxy p where (p.g BETWEEN # AND #)"
2019-01-08 16:51:00,1
2019-01-08 16:53:00,1
2019-01-08 17:23:00,1
2019-01-08 19:08:00,1
2019-01-08 19:29:00,1
2019-01-08 19:42:00,1
2019-01-09 02:21:00,1
2019-01-09 02:43:00,1
2019-01-09 02:57:00,1
2019-01-09 03:29:00,1
2019-01-09 04:03:00,1
2019-01-09 04:18:00,1
2019-01-09 21:18:00,1
2019-01-09 21:21:00,1
2019-01-09 21:32:00,1
2019-01-09 21:39:00,1
2019-01-09 22:10:00,1
2019-01-09 22:26:00,1
2019-01-09 22:35:00,1
2019-01-09 22:43:00,1
2019-01-09 23:18:00,1
2019-01-09 23:33:00,1
2019-01-09 23:48:00,1
2019-01-10 00:12:00,1
2019-01-10 00:22:00,1
2019-01-10 00:39:00,1
2019-01-10 00:48:00,1
2019-01-10 01:37:00,1
2019-01-10 15:25:00,1
2019-01-10 15:27:00,1
2019-01-10 16:33:00,1
2019-01-10 18:06:00,1
2019-01-10 19:08:00,1
2019-01-10 19:13:00,1
2019-01-10 21:35:00,1
2019-01-10 21:40:00,1
2019-01-10 21:49:00,1
2019-01-10 22:07:00,1
2019-01-11 09:30:00,1
2019-01-11 09:41:00,1
2019-01-11 15:02:00,1
2019-01-11 15:04:00,1
2019-01-11 15:37:00,1
2019-01-11 15:50:00,1
2019-03-25 18:19:00,1
2019-03-25 18:23:00,1
2019-03-25 18:30:00,1
2019-03-25 18:38:00,1
2019-03-25 18:44:00,1
2019-03-25 18:54:00,1
2019-03-25 19:06:00,1
2019-03-25 19:10:00,1
2019-03-25 19:14:00,1
2019-03-25 19:24:00,1
2019-03-25 19:28:00,1
2019-03-25 19:31:00,1
2019-03-25 19:35:00,1
2019-03-25 19:43:00,1
2019-03-25 19:44:00,1
2019-03-25 19:51:00,1
2019-03-25 20:03:00,1
2019-03-25 20:13:00,1
2019-04-12 03:49:00,1
2019-04-12 04:22:00,1
2019-04-15 22:14:00,1
2019-04-15 22:25:00,1
2019-04-15 23:04:00,1
2019-04-15 23:23:00,1
2019-04-17 14:39:00,1
2019-05-14 01:02:00,1
2019-05-14 01:04:00,1
2019-06-16 19:03:00,1
2019-06-16 19:11:00,1
2019-06-27 01:42:00,1
2019-08-07 01:48:00,1
2019-08-07 01:53:00,1
