2,"select * from dbo.fGetNearestSpecObjAllEq (#, #, #) union select * from dbo.fGetNearestSpecObjAllEq (#, #, #) union select * from dbo.fGetNearestSpecObjAllEq (#, #, #) union select * from dbo.fGetNearestSpecObjAllEq (#, #, #) union select * from dbo.fGetNearestSpecObjAllEq (#, #, #) union select * from dbo.fGetNearestSpecObjAllEq (#, #, #) union select * from dbo.fGetNearestSpecObjAllEq (#, #, #) union select * from dbo.fGetNearestSpecObjAllEq (#, #, #) union select * from dbo.fGetNearestSpecObjAllEq (#, #, #) union select * from dbo.fGetNearestSpecObjAllEq (#, #, #)"
2019-08-09 00:02:00,1
2019-08-09 00:03:00,1
