10,"SELECT Composer, SUBSTRING (Composer, #, #) as initial FROM chinook.Track"
2019-04-24 03:20:00,1
2019-04-24 03:59:00,1
2019-04-24 04:00:00,1
2019-04-24 04:06:00,1
2019-04-24 04:07:00,2
2019-04-24 04:10:00,2
2019-04-24 04:12:00,2
