516,"SELECT top # objID, ra, dec, (CASE WHEN q.type IS # THEN # ELSE # END) AS found FROM PhotoObj AS p OUTER APPLY dbo.fFootprintEq (ra, dec, #) AS q WHERE (ra BETWEEN # AND #) AND (dec BETWEEN # AND #)"
2019-01-01 09:57:00,1
2019-01-02 00:21:00,1
2019-01-02 01:49:00,1
2019-01-05 08:52:00,1
2019-01-05 17:55:00,1
2019-01-07 06:16:00,1
2019-01-07 23:35:00,1
2019-01-08 03:33:00,1
2019-01-08 03:47:00,1
2019-01-08 06:29:00,1
2019-01-08 06:49:00,1
2019-01-08 08:43:00,1
2019-01-10 22:43:00,1
2019-01-12 09:18:00,1
2019-01-14 00:57:00,1
2019-01-15 10:24:00,1
2019-01-17 05:10:00,1
2019-01-20 19:09:00,1
2019-01-22 08:59:00,1
2019-01-24 13:40:00,1
2019-01-25 12:08:00,1
2019-01-25 12:10:00,1
2019-01-25 17:33:00,1
2019-01-25 17:56:00,1
2019-01-26 13:28:00,1
2019-01-27 22:38:00,1
2019-01-28 16:04:00,1
2019-01-29 03:44:00,1
2019-01-30 22:21:00,1
2019-01-31 03:53:00,1
2019-02-02 06:16:00,1
2019-02-02 15:36:00,1
2019-02-03 01:00:00,1
2019-02-03 01:16:00,1
2019-02-03 02:26:00,1
2019-02-04 13:43:00,1
2019-02-08 01:34:00,1
2019-02-08 02:10:00,1
2019-02-08 05:12:00,1
2019-02-08 17:38:00,1
2019-02-09 17:38:00,1
2019-02-10 05:57:00,1
2019-02-10 18:17:00,1
2019-02-10 23:39:00,1
2019-02-11 04:40:00,1
2019-02-11 22:18:00,1
2019-02-11 23:15:00,1
2019-02-12 19:43:00,1
2019-02-12 19:52:00,1
2019-02-14 16:54:00,1
2019-02-17 12:30:00,1
2019-02-19 00:08:00,1
2019-02-20 02:19:00,1
2019-02-22 23:43:00,1
2019-02-24 14:06:00,1
2019-02-25 10:33:00,1
2019-02-26 02:51:00,1
2019-02-26 17:55:00,1
2019-02-28 08:53:00,1
2019-02-28 23:32:00,1
2019-03-01 11:51:00,1
2019-03-01 20:18:00,1
2019-03-01 21:11:00,1
2019-03-01 22:05:00,1
2019-03-02 17:21:00,1
2019-03-02 22:44:00,1
2019-03-03 05:43:00,1
2019-03-07 14:02:00,1
2019-03-08 14:21:00,1
2019-03-08 20:34:00,1
2019-03-08 21:50:00,1
2019-03-08 22:15:00,1
2019-03-09 09:33:00,1
2019-03-09 12:01:00,1
2019-03-10 02:39:00,1
2019-03-10 18:04:00,1
2019-03-10 20:42:00,1
2019-03-11 03:08:00,1
2019-03-11 08:40:00,1
2019-03-11 16:29:00,1
2019-03-11 22:40:00,1
2019-03-12 21:46:00,1
2019-03-13 14:46:00,1
