23,select top # * from [MyTable1]
2019-02-02 15:20:00,1
2019-05-02 12:23:00,1
2019-08-06 11:49:00,1
2019-08-14 14:19:00,1
2019-08-14 14:20:00,1
2019-08-26 10:47:00,1
2019-08-26 10:50:00,1
2019-08-26 11:06:00,1
2019-08-26 11:36:00,1
2019-08-26 12:40:00,1
2019-09-04 15:59:00,1
2019-09-12 06:02:00,1
2019-09-18 07:29:00,1
2019-09-26 19:02:00,1
2019-10-03 04:03:00,1
2019-10-03 04:09:00,1
2019-10-03 04:14:00,1
2019-10-22 11:38:00,1
2019-12-17 03:16:00,1
2019-12-17 03:40:00,1
2019-12-17 04:09:00,1
2019-12-17 04:28:00,1
2019-12-17 05:10:00,1
