2,"SELECT TOP # z, zErr, ra, dec, dered_u, dered_g, dered_r into mydb.DataTable from dbo.SpecPhoto WHERE class = # AND ra BETWEEN # AND # AND dec BETWEEN # AND #"
2019-09-30 16:27:00,1
2019-09-30 16:28:00,1
