943,"SELECT TOP # G.ObjID, G.u, G.g, G.r, G.i, G.z FROM Galaxy AS G JOIN Star AS S ON G.parentID = S.parentID WHERE G.parentID > #"
2019-01-01 09:56:00,1
2019-01-01 11:07:00,1
2019-01-02 00:15:00,1
2019-01-02 00:46:00,1
2019-01-02 01:49:00,1
2019-01-03 11:13:00,1
2019-01-03 17:01:00,1
2019-01-04 08:58:00,1
2019-01-05 08:51:00,1
2019-01-05 12:29:00,1
2019-01-05 17:55:00,1
2019-01-06 12:38:00,1
2019-01-07 00:05:00,1
2019-01-07 23:28:00,1
2019-01-08 01:22:00,1
2019-01-08 03:27:00,1
2019-01-08 03:47:00,1
2019-01-08 06:25:00,1
2019-01-08 06:49:00,1
2019-01-08 07:26:00,1
2019-01-08 08:39:00,1
2019-01-08 16:38:00,1
2019-01-10 02:31:00,1
2019-01-10 13:18:00,2
2019-01-10 15:02:00,1
2019-01-10 22:43:00,1
2019-01-11 04:39:00,1
2019-01-12 03:04:00,1
2019-01-12 09:28:00,1
2019-01-13 08:28:00,1
2019-01-13 09:05:00,1
2019-01-14 11:35:00,1
2019-01-16 01:55:00,1
2019-01-16 08:25:00,1
2019-01-17 04:28:00,1
2019-01-17 20:30:00,1
2019-01-17 23:05:00,1
2019-01-18 22:32:00,1
2019-01-19 17:02:00,1
2019-01-20 18:24:00,1
2019-01-22 08:22:00,1
2019-01-22 08:59:00,1
2019-01-22 14:34:00,1
2019-01-22 20:43:00,1
2019-01-23 23:25:00,1
2019-01-24 13:40:00,1
2019-01-25 11:15:00,1
2019-01-25 15:53:00,1
2019-01-25 17:20:00,1
2019-01-26 09:29:00,1
2019-01-26 13:28:00,1
2019-01-26 21:40:00,1
2019-01-27 00:15:00,1
2019-01-27 15:39:00,1
2019-01-27 22:37:00,1
2019-01-28 15:24:00,1
2019-01-28 16:03:00,1
2019-01-29 03:41:00,1
2019-01-30 09:28:00,1
2019-01-30 17:06:00,1
2019-01-30 17:07:00,3
2019-01-30 23:55:00,1
2019-01-31 17:51:00,1
2019-01-31 20:59:00,1
2019-02-01 11:08:00,1
2019-02-01 22:43:00,1
2019-02-02 03:11:00,1
2019-02-02 12:09:00,1
2019-02-02 15:36:00,1
2019-02-03 20:12:00,1
2019-02-04 03:41:00,1
2019-02-04 13:38:00,1
2019-02-04 14:09:00,1
2019-02-04 14:39:00,1
2019-02-08 01:31:00,1
2019-02-08 05:12:00,1
2019-02-08 05:45:00,1
2019-02-08 16:54:00,1
2019-02-08 18:08:00,1
2019-02-08 22:12:00,1
2019-02-08 23:59:00,1
2019-02-09 05:58:00,1
2019-02-09 12:15:00,1
