21,"select plate, MJD, fiberID from specobjall where subClass like # and snMedian_g> =# and snMedian_g< #"
2019-07-27 06:44:00,1
2019-07-27 08:37:00,1
2019-07-27 08:39:00,1
2019-07-27 08:41:00,1
2019-07-27 08:42:00,3
2019-07-27 08:43:00,1
2019-07-27 08:44:00,1
2019-07-27 09:13:00,1
2019-07-27 09:26:00,1
2019-07-27 09:28:00,2
2019-07-28 01:37:00,1
2019-07-28 02:57:00,1
2019-07-28 04:36:00,1
2019-07-28 06:11:00,1
2019-07-28 06:14:00,1
2019-07-30 03:33:00,1
2019-07-30 03:36:00,1
2019-08-02 00:55:00,1
