65,"SELECT TOP # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.run, p.rerun, p.camcol, p.field, s.specobjid, s.class, s.z as redshift, s.plate, s.mjd, s.fiberid FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.u BETWEEN # AND # AND g BETWEEN # AND # AND s.class = #"
2019-01-18 23:38:00,1
2019-03-26 20:29:00,1
2019-04-02 07:41:00,1
2019-04-04 07:36:00,1
2019-04-05 13:01:00,1
2019-04-24 17:52:00,1
2019-05-07 17:21:00,1
2019-05-07 17:26:00,1
2019-05-07 17:32:00,1
2019-05-09 17:14:00,5
2019-05-09 17:15:00,2
2019-05-09 17:16:00,1
2019-05-09 17:24:00,7
2019-05-09 17:25:00,1
2019-05-09 17:28:00,1
2019-05-09 17:29:00,2
2019-05-09 17:30:00,1
2019-05-10 19:51:00,1
2019-05-14 17:59:00,1
2019-05-14 18:01:00,2
2019-08-30 08:24:00,2
2019-09-12 02:56:00,1
2019-09-12 02:57:00,1
2019-09-23 22:42:00,1
2019-09-23 22:43:00,1
2019-09-24 16:58:00,1
2019-09-24 17:03:00,1
2019-09-29 05:54:00,1
2019-09-29 05:55:00,1
2019-10-11 12:26:00,1
2019-10-11 13:18:00,1
2019-11-21 11:05:00,1
2019-11-21 11:30:00,1
2019-11-21 11:32:00,2
2019-11-21 11:33:00,1
2019-11-21 11:35:00,1
2019-12-03 11:22:00,3
2019-12-03 11:28:00,1
2019-12-03 11:29:00,3
2019-12-03 11:30:00,1
2019-12-03 11:33:00,2
2019-12-03 11:38:00,2
2019-12-03 11:39:00,1
2019-12-03 13:34:00,1
