2,"SELECT ra, dec, z FROM SpecPhoto as sp JOIN specObjID on Specphoto = galSpecExtra WHERE z < = # AND lgm_tot_p5# > # AND ra BETWEEN # AND # AND dec BETWEEN # AND # AND class = GALAXY"
2019-05-02 10:16:00,1
2019-05-02 13:12:00,1
