10,"select top # p.ra, p.dec, p.deVRad_r, q.z from galaxy p, dbo.fgetNearByObjEq (#, # , #) n, galSpecInfo q where p.objid = n.objid and p.specObjID = q.specObjID and p.specObjID< ># and q.z> # and abs (#* (#-q.z) )< #"
2019-10-05 14:22:00,1
2019-10-05 14:23:00,1
2019-10-05 14:27:00,1
2019-10-06 17:13:00,1
2019-10-06 17:34:00,1
2019-10-06 17:35:00,2
2019-10-06 18:34:00,1
2019-10-08 07:09:00,1
2019-10-08 07:17:00,1
