5,"select top # p.objid, p.ra, p.dec, s.z as redshift, s.specobjid from galaxy p, specobj s, dbo.fgetNearByObjEq (#, #, #) n where p.objid = s.bestobjid and p.objid = n.objid and s.bestobjid = n.objid"
2019-04-30 19:21:00,2
2019-05-05 18:17:00,1
2019-05-05 18:54:00,1
2019-06-24 12:20:00,1
