3,"SELECT p.ObjID, p.ra, p.dec, f.rms, s.z, p.modelMag_g, ph.lumDist FROM PhotoObj p JOIN specObj s ON s.bestObjID = p.objID JOIN [FIRST] f ON f.objID = p.objID JOIN Photoz ph ON ph.objID = p.objID WHERE s.class = # AND s.z between # and # AND f.rms BETWEEN # AND #"
2019-11-09 19:53:00,2
2019-11-12 21:29:00,1
