3,"SELECT p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.run, p.rerun, p.camcol, p.field FROM PhotoObj AS p WHERE p.run = # and p.camcol = # and p.field = #"
2019-11-08 14:54:00,2
2019-11-08 14:55:00,1
