19,"select top # p.g, p.camcol, s.z as redshift from galaxy p, specobj s where p.objid = s.bestobjid and s.z BETWEEN # AND # and p.camcol = # and p.colc BETWEEN # AND # and p.g BETWEEN # AND #"
2019-09-24 19:57:00,1
2019-09-24 19:58:00,1
2019-09-24 20:42:00,1
2019-09-24 22:16:00,2
2019-09-24 22:17:00,1
2019-09-25 03:05:00,1
2019-09-25 03:10:00,1
2019-09-25 16:23:00,1
2019-09-25 16:54:00,1
2019-09-25 17:12:00,1
2019-09-25 17:14:00,1
2019-09-25 17:23:00,1
2019-09-26 01:29:00,1
2019-09-26 20:12:00,1
2019-09-26 20:20:00,1
2019-09-26 20:28:00,1
2019-09-26 20:39:00,1
2019-09-26 21:12:00,1
