20,"select ra, dec, bestObjID from specObj where ra BETWEEN # and # AND dec BETWEEN # and # AND class = #"
2019-01-07 15:12:00,1
2019-02-28 17:43:00,1
2019-03-11 02:56:00,1
2019-04-24 11:48:00,1
2019-05-09 19:17:00,1
2019-05-16 17:08:00,1
2019-05-28 22:41:00,1
2019-06-21 10:16:00,1
2019-07-02 12:35:00,2
2019-07-02 12:36:00,1
2019-07-25 23:15:00,1
2019-07-30 21:32:00,1
2019-08-14 23:58:00,1
2019-09-02 16:07:00,1
2019-09-28 13:59:00,1
2019-09-28 21:42:00,1
2019-10-02 01:46:00,1
2019-10-03 16:37:00,1
2019-12-22 04:27:00,1
