2,"SELECT dr7objid, ra, dec FROM MyTable WHERE total_votes > # and t0#_edgeon_a0#_yes_weight > # and t0#_edgeon_a0#_yes_fraction > # and t0#_edgeon_a0#_yes_debiased > # and t0#_spiral_a0#_spiral_weight > # and t0#_spiral_a0#_spiral_fraction > # and t0#_spiral_a0#_spiral_weighted_fraction > # and t0#_spiral_a0#_spiral_debiased > #"
2019-02-05 09:39:00,1
2019-02-05 09:40:00,1
