3,"SELECT s.specObjID, s.ra, s.dec, s.z, s.zErr, s.class into mydb.Akbar_#_# FROM SpecPhotoAll s WHERE s.ra BETWEEN # AND # AND s.dec BETWEEN # AND # AND s.z BETWEEN # AND # AND s.class = #"
2019-04-15 06:30:00,2
2019-04-15 06:32:00,1
