4023,SELECT
2019-01-03 20:49:00,1
2019-01-03 20:58:00,1
2019-01-07 07:53:00,1
2019-01-07 07:54:00,1
2019-01-08 15:57:00,1
2019-01-09 05:02:00,1
2019-01-12 18:03:00,1
2019-01-14 08:53:00,1
2019-01-14 08:54:00,1
2019-01-14 08:55:00,1
2019-01-14 08:56:00,1
2019-01-14 08:58:00,2
2019-01-14 09:00:00,2
2019-01-14 09:01:00,3
2019-01-14 09:02:00,1
2019-01-14 09:09:00,1
2019-01-14 12:09:00,1
2019-01-17 00:22:00,1
2019-01-18 21:41:00,1
2019-01-21 20:23:00,1
2019-01-21 20:26:00,2
2019-01-23 18:03:00,1
2019-01-23 18:32:00,1
2019-01-24 01:07:00,1
2019-01-24 01:09:00,1
2019-01-24 01:11:00,2
2019-01-24 01:46:00,1
2019-01-24 01:51:00,1
2019-01-24 01:54:00,2
2019-01-24 01:57:00,1
2019-01-24 02:13:00,1
2019-01-24 02:14:00,2
2019-01-24 02:16:00,1
2019-01-24 02:17:00,1
2019-01-24 02:18:00,1
2019-01-24 02:19:00,1
2019-01-24 02:22:00,1
2019-01-24 02:23:00,1
2019-01-24 02:31:00,1
2019-01-24 02:37:00,2
2019-01-24 02:38:00,1
2019-01-24 03:24:00,1
2019-01-24 03:26:00,1
2019-01-24 03:28:00,1
2019-01-24 03:31:00,1
2019-01-24 03:36:00,1
2019-01-24 03:39:00,1
2019-01-24 12:51:00,1
2019-01-24 15:04:00,2
2019-01-24 15:05:00,1
2019-01-24 15:24:00,2
2019-01-24 15:26:00,2
2019-01-25 00:50:00,3
2019-01-25 00:57:00,1
2019-01-25 00:58:00,1
2019-01-28 09:41:00,2
2019-01-31 22:07:00,1
2019-02-01 12:43:00,2
2019-02-01 12:44:00,1
2019-02-01 13:38:00,1
2019-02-01 13:39:00,1
2019-02-06 16:24:00,1
2019-02-08 19:30:00,1
2019-02-08 19:32:00,1
2019-02-09 03:55:00,1
2019-02-09 03:56:00,1
2019-02-11 19:02:00,1
2019-02-11 19:16:00,1
2019-02-11 19:17:00,1
2019-02-11 19:40:00,1
2019-02-11 19:45:00,1
2019-02-11 21:18:00,1
2019-02-11 21:19:00,1
2019-02-11 21:27:00,1
2019-02-11 21:28:00,1
2019-02-11 21:47:00,1
2019-02-11 21:53:00,1
2019-02-12 01:34:00,1
2019-02-12 01:38:00,1
2019-02-12 01:39:00,1
2019-02-12 01:44:00,1
2019-02-12 01:47:00,1
2019-02-12 01:48:00,1
2019-02-12 01:54:00,1
2019-02-21 21:51:00,2
2019-02-21 21:52:00,2
2019-02-22 04:58:00,1
