19,"select top # p.ra, p.dec, p.deVRad_r, q.z from galaxy p, dbo.fgetNearByObjEq (#, # , #) n, galSpecInfo q where p.objid = n.objid and p.specObjID = q.specObjID and p.specObjID< ># and q.z> #"
2019-09-25 22:31:00,1
2019-09-25 22:32:00,1
2019-09-25 22:34:00,1
2019-09-25 22:35:00,1
2019-10-05 23:23:00,1
2019-10-05 23:24:00,2
2019-10-05 23:25:00,1
2019-10-05 23:28:00,1
2019-10-05 23:29:00,1
2019-10-05 23:30:00,1
2019-10-05 23:31:00,1
2019-10-08 07:11:00,1
2019-10-08 07:12:00,1
2019-10-08 07:13:00,1
2019-10-08 07:14:00,1
2019-10-08 07:15:00,1
2019-10-08 07:19:00,2
