2,"SELECT p.objid, p.ra, p.dec, s.plate, s.mjd, s.fiberid, s.specobjid, p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.modelMag_z, p.devMag_u, p.devMag_g, p.devMag_r, p.devMag_i, p.devMag_z, p.expMag_u, p.expMag_g, p.expMag_r, p.expMag_i, p.expMag_z, p.petroMag_u, p.petroMag_g, p.petroMag_r, p.petroMag_i, p.petroMag_z, p.fiberMag_u, p.fiberMag_g, p.fiberMag_r, p.fiberMag_i, p.fiberMag_z, p.psfMag_u, p.psfMag_g, p.psfMag_r, p.psfMag_i, p.psfMag_z, p.dered_u, p.dered_g, p.dered_r, p.dered_i, p.dered_z FROM PhotoObj as p JOIN SpecObj as s ON s.bestobjid = p.objid WHERE s.specobjid = # OR s.specobjid = #"
2019-05-15 09:45:00,1
2019-05-15 09:46:00,1
