4,"select top # p.objid, p.ra, p.dec from galaxy p, specobj s, dbo.fgetNearByObjEq (#, #, #) n where p.objid = s.bestobjid and p.objid = n.objid and s.bestobjid = n.objid and (p.r BETWEEN # AND #) and (p.r-p.i BETWEEN # AND #)"
2019-11-12 19:18:00,3
2019-11-12 19:20:00,1
