2,"SELECT objID, ra, dec, cModelMag_u, cModelMag_g, cModelMag_r, cModelMag_i, cModelMag_z into mydb.MyTable4 from Galaxy WHERE ( (ra BETWEEN # AND # OR ra> =# AND dec BETWEEN # AND #) OR (ra BETWEEN # AND # AND dec BETWEEN # AND #) OR (ra BETWEEN # AND # AND dec BETWEEN # AND #) OR (ra BETWEEN # AND # AND dec BETWEEN # AND #) )"
2019-11-13 01:59:00,1
2019-11-13 04:59:00,1
