24,"SELECT * FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_NAME = #) ) BEGIN drop table CycleEdges_S0# END CREATE TABLE CycleEdges_S0# (cycleRootId integer, snapnum smallint, rankInCycle integer, elementId integer, edgeRank tinyint)"
2019-01-21 14:22:00,1
2019-01-21 14:24:00,1
2019-01-21 14:29:00,1
2019-01-21 14:43:00,1
2019-01-21 14:47:00,2
2019-01-21 14:52:00,2
2019-01-21 14:56:00,1
2019-01-21 15:01:00,1
2019-01-21 15:03:00,1
2019-01-21 15:13:00,1
2019-01-21 17:05:00,1
2019-01-21 17:07:00,2
2019-01-21 17:08:00,3
2019-01-21 17:36:00,1
2019-01-21 17:40:00,1
2019-01-21 17:48:00,1
2019-01-21 17:56:00,1
2019-01-21 18:00:00,1
2019-01-21 18:03:00,1
