569,"select cg.geom.ToString () as wkt, cg.btype, cg.ptype from CellTag ca, CellGeom cg where ca.sampleid = # and ca.px between # and # and ca.py between # and # and cg.cellid = ca.cellid and cg.btype = #"
2019-12-18 14:58:00,2
2019-12-18 14:59:00,2
2019-12-18 15:00:00,2
2019-12-18 15:02:00,2
2019-12-18 15:03:00,4
2019-12-18 15:04:00,4
2019-12-18 15:05:00,2
2019-12-18 15:10:00,2
2019-12-19 11:25:00,2
2019-12-19 11:26:00,4
2019-12-19 11:31:00,2
2019-12-19 11:32:00,2
2019-12-19 11:33:00,2
2019-12-19 11:34:00,2
2019-12-19 11:35:00,8
2019-12-19 11:36:00,2
2019-12-19 11:37:00,4
2019-12-19 11:38:00,6
