11,"SELECT u.up_name as name, p.objID, p.ra, p.dec, dbo.fPhotoTypeN (p.type) as type, p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.modelMag_z, s.z as redshift, p.modelMag_z FROM #upload u JOIN #x x ON x.up_id = u.up_id JOIN PhotoTag p ON p.objID = x.objID LEFT JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE p.type = # ORDER by x.up_id"
2019-06-12 21:40:00,1
2019-06-12 21:49:00,1
2019-06-12 22:01:00,1
2019-06-17 04:38:00,1
2019-06-17 04:39:00,1
2019-06-17 05:16:00,1
2019-06-17 05:17:00,1
2019-06-17 05:19:00,1
2019-06-17 08:57:00,1
2019-06-17 08:58:00,1
2019-06-17 09:01:00,1
