11,"SELECT SpecObjALL.ra as RA, SpecObjALL.dec as DEC, SpecObjALL.z as zGAL, PhotoObjALL.petroMag_g as mag_g, PhotoObjALL.petroMag_r as mag_r, PhotoObjALL.petroMag_z as mag_z, PhotoObjALL.petroR5#_r as R5# FROM SpecObjALL, PhotoObjALL WHERE SpecObjALL.bestObjid = PhotoObjALL.objID AND SpecObjALL.class = # AND SpecObjALL.ra > # AND SpecObjALL.ra < # AND SpecObjALL.dec > # AND SpecObjALL.dec < #"
2019-03-05 16:45:00,1
2019-03-09 06:28:00,1
2019-03-09 06:29:00,1
2019-03-09 06:30:00,2
2019-03-09 06:32:00,1
2019-03-09 06:37:00,1
2019-04-08 21:23:00,1
2019-04-09 04:40:00,1
2019-04-09 06:18:00,1
2019-04-09 15:50:00,1
