2,"select p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z into mydb.MyTable from star p, dbo.fgetNearByObjEq (#, #, #) n where p.objid = n.objid"
2019-09-25 18:58:00,1
2019-09-25 19:00:00,1
