10,"select TOP # ra, dec from specObj where ra BETWEEN # and # AND dec BETWEEN # and #"
2019-01-21 15:35:00,1
2019-01-21 15:36:00,1
2019-03-28 03:36:00,3
2019-08-11 10:40:00,1
2019-09-04 02:16:00,2
2019-09-04 02:18:00,2
