416,select fieldid from field where cccol_u between -.# and # and skyframes_r between # and #
2019-01-24 16:36:00,1
2019-01-24 16:37:00,3
2019-01-24 20:05:00,1
2019-01-24 20:06:00,1
2019-01-24 20:25:00,8
2019-01-24 20:26:00,50
2019-01-25 00:21:00,36
2019-01-25 00:24:00,8
2019-01-25 00:25:00,30
2019-01-25 01:02:00,1
2019-01-25 04:09:00,14
2019-01-25 04:10:00,37
2019-01-25 07:13:00,9
2019-01-25 07:18:00,3
2019-01-25 07:19:00,11
2019-01-25 07:41:00,1
2019-01-25 07:52:00,2
2019-01-25 08:08:00,1
2019-01-25 12:44:00,1
2019-01-25 12:45:00,4
2019-01-25 12:48:00,1
2019-01-28 17:30:00,4
2019-01-28 17:31:00,31
2019-01-28 17:32:00,34
2019-01-28 17:33:00,71
2019-01-28 17:42:00,8
2019-01-28 17:43:00,27
2019-01-28 18:18:00,3
2019-01-28 18:39:00,5
2019-01-28 19:11:00,3
2019-01-28 19:15:00,4
2019-01-28 19:16:00,1
2019-02-26 13:43:00,2
