3,"SELECT p.dr7objid, p.dr8objid, s.specObjID, s.z into mydb.MyTable_# from PhotoObjDR7 p JOIN SpecDR7 f ON f.dr7objid = p.dr7objid JOIN SpecObjAll s ON s.specObjID = f.specObjID WHERE s.z> # and s.z< #"
2019-06-23 16:30:00,2
2019-06-23 16:31:00,1
