33,"SELECT top # visit.*, aspcap.teff, aspcap.logg, aspcap.metals FROM apogeeVisit visit JOIN apogeeStarVisit starvisit on visit.visit_id = starvisit.visit_id JOIN aspcapStar aspcap on aspcap.apstar_id = starvisit.apstar_id JOIN apogeeStar star on star.apstar_id = starvisit.apstar_id WHERE (aspcap.aspxcapflag"
2019-01-07 23:29:00,1
2019-01-08 03:28:00,1
2019-02-08 01:31:00,1
2019-02-09 17:32:00,1
2019-02-24 11:51:00,1
2019-03-02 22:36:00,1
2019-04-01 06:22:00,1
2019-04-09 12:25:00,1
2019-04-18 05:40:00,1
2019-04-19 09:58:00,1
2019-05-03 04:40:00,1
2019-05-24 02:12:00,1
2019-06-17 09:51:00,1
2019-06-21 00:49:00,1
2019-06-29 05:34:00,1
2019-07-03 14:21:00,1
2019-07-14 08:15:00,1
2019-07-21 06:52:00,1
2019-07-25 05:09:00,1
2019-08-16 07:04:00,1
2019-08-22 07:37:00,1
2019-08-31 08:39:00,1
2019-09-05 22:31:00,1
2019-10-21 00:18:00,1
2019-10-22 20:59:00,1
2019-10-23 14:50:00,1
2019-10-24 21:26:00,1
2019-10-25 00:12:00,1
2019-10-30 20:51:00,1
2019-11-01 05:27:00,1
2019-11-21 20:07:00,1
2019-12-04 11:12:00,1
2019-12-18 01:29:00,1
