5,"SELECT g.source_id, g.ra as ra_gaia, g.ra_error, g.dec as dec_gaia, g.dec_error, g.pmra, g.pmra_error, g.pmdec, g.pmdec_error, g.parallax, g.parallax_error, g.parallax_over_error, g.phot_g_mean_flux_over_error, g.phot_g_mean_mag, g.phot_bp_mean_flux_over_error, g.phot_bp_mean_mag, g.phot_rp_mean_flux_over_error, g.phot_rp_mean_mag, g.bp_rp, g.absmag_g, n.objid, n.distance, o.ra AS ra_SDSS, o.dec AS dec_sdss, o.u, o.g, o.r, o.i, o.z, o.err_u, o.err_g, o.err_r, o.err_i, o.err_z INTO MyDB.please_work FROM MyDB.gaia_WD_only AS g CROSS APPLY dbo.fGetNearestObjEq (g.ra, g.dec, #) AS n JOIN PhotoObj AS o ON n.objid = o.objid"
2019-02-26 11:24:00,2
2019-02-26 11:25:00,3
