70384,"select p.run, p.camcol, p.field from STAR as p inner join dbo.fGetNearbyObjEq (#, #, #) as N on p.objid = N.objid"
2019-01-01 03:28:00,5
2019-01-01 03:29:00,3
2019-01-01 03:31:00,3
2019-01-01 03:32:00,2
2019-01-01 03:33:00,3
2019-01-01 03:37:00,2
2019-01-01 03:39:00,3
2019-01-01 03:40:00,1
2019-01-01 03:42:00,1
2019-01-01 03:44:00,2
2019-01-01 03:45:00,1
2019-01-01 03:54:00,8
2019-01-01 03:57:00,3
2019-01-01 03:58:00,2
2019-01-01 04:04:00,2
2019-01-01 04:08:00,5
2019-01-01 04:12:00,6
2019-01-01 04:16:00,2
2019-01-01 04:18:00,3
2019-01-01 04:24:00,2
2019-01-01 12:35:00,2
2019-01-01 12:37:00,2
2019-01-01 12:40:00,2
2019-01-01 12:42:00,2
2019-01-01 13:17:00,2
2019-01-01 13:20:00,2
2019-01-01 13:22:00,2
2019-01-01 13:25:00,2
2019-01-03 03:20:00,3
2019-01-03 03:24:00,2
2019-01-03 03:32:00,1
2019-01-03 03:35:00,2
2019-01-03 03:37:00,3
2019-01-03 03:38:00,1
2019-01-03 03:42:00,2
2019-01-03 03:47:00,2
2019-01-03 05:45:00,1
2019-01-03 05:46:00,2
2019-01-03 05:47:00,1
2019-01-03 05:48:00,1
2019-01-03 05:50:00,2
2019-01-03 05:52:00,2
2019-01-03 05:57:00,1
2019-01-03 05:58:00,1
2019-01-03 06:01:00,3
2019-01-03 06:03:00,1
2019-01-03 11:27:00,2
2019-01-03 11:29:00,2
2019-01-03 11:30:00,2
2019-01-03 11:31:00,1
2019-01-03 11:32:00,2
2019-01-03 11:33:00,1
2019-01-03 11:36:00,1
2019-01-03 11:38:00,1
2019-01-04 03:01:00,1
2019-01-04 03:04:00,1
2019-01-04 03:07:00,1
2019-01-04 03:10:00,1
2019-01-04 08:03:00,5
2019-01-04 08:06:00,3
2019-01-04 08:07:00,3
2019-01-04 08:10:00,2
2019-01-04 08:12:00,2
2019-01-04 08:16:00,2
2019-01-04 08:23:00,3
2019-01-04 08:25:00,2
2019-01-04 08:27:00,1
2019-01-04 08:28:00,1
2019-01-04 08:32:00,2
2019-01-04 08:33:00,1
2019-01-04 13:48:00,1
2019-01-04 13:49:00,2
2019-01-04 13:50:00,1
2019-01-04 13:51:00,1
2019-01-04 13:52:00,3
2019-01-04 13:55:00,2
2019-01-04 13:57:00,2
2019-01-05 04:39:00,1
2019-01-05 04:43:00,1
2019-01-05 04:45:00,1
2019-01-05 04:49:00,1
2019-01-05 04:52:00,1
2019-01-05 04:57:00,1
2019-01-05 04:58:00,1
2019-01-05 05:01:00,2
2019-01-05 05:02:00,1
2019-01-05 08:21:00,1
2019-01-05 08:25:00,1
2019-01-05 08:30:00,1
2019-01-05 08:34:00,2
2019-01-05 08:37:00,1
2019-01-05 08:41:00,2
2019-01-05 08:47:00,1
2019-01-05 14:07:00,1
2019-01-05 14:08:00,2
2019-01-05 14:10:00,1
2019-01-05 14:11:00,2
2019-01-05 14:14:00,1
2019-01-05 14:16:00,1
2019-01-05 15:53:00,1
2019-01-05 15:54:00,1
2019-01-05 15:55:00,1
2019-01-05 15:56:00,1
2019-01-05 15:57:00,2
2019-01-05 15:59:00,2
2019-01-05 16:02:00,1
2019-01-06 01:21:00,3
2019-01-06 01:27:00,4
2019-01-06 01:32:00,3
2019-01-06 14:01:00,2
2019-01-06 14:03:00,1
2019-01-06 14:04:00,1
2019-01-06 14:06:00,2
2019-01-06 14:09:00,2
2019-01-07 07:40:00,5
2019-01-07 07:42:00,3
2019-01-07 07:43:00,3
2019-01-07 07:45:00,2
2019-01-07 07:47:00,2
2019-01-07 07:49:00,2
2019-01-07 10:15:00,2
2019-01-07 10:16:00,2
2019-01-07 10:18:00,2
2019-01-07 10:20:00,2
2019-01-07 10:42:00,2
2019-01-07 10:44:00,2
2019-01-07 10:47:00,2
2019-01-07 10:50:00,2
2019-01-07 11:02:00,2
2019-01-07 11:09:00,2
2019-01-07 11:11:00,2
2019-01-07 11:13:00,2
2019-01-07 11:14:00,2
2019-01-07 11:16:00,4
2019-01-07 11:27:00,2
2019-01-08 01:46:00,3
2019-01-08 01:48:00,2
2019-01-08 01:49:00,1
2019-01-08 01:51:00,3
2019-01-08 01:54:00,1
2019-01-08 07:50:00,3
2019-01-08 07:55:00,4
2019-01-08 07:58:00,2
2019-01-08 07:59:00,3
2019-01-08 08:02:00,2
2019-01-08 10:22:00,1
2019-01-08 10:33:00,1
2019-01-08 10:37:00,1
2019-01-08 11:09:00,1
2019-01-08 11:45:00,1
2019-01-08 11:48:00,1
2019-01-08 11:51:00,1
2019-01-08 12:16:00,1
2019-01-08 12:22:00,1
2019-01-08 12:28:00,1
2019-01-08 12:34:00,1
2019-01-08 12:51:00,1
2019-01-08 12:53:00,3
2019-01-08 12:54:00,3
2019-01-08 12:56:00,2
2019-01-08 12:57:00,1
2019-01-08 13:01:00,1
2019-01-08 13:10:00,1
2019-01-08 13:18:00,1
2019-01-08 13:26:00,1
2019-01-09 03:17:00,2
2019-01-09 03:18:00,2
2019-01-09 03:21:00,4
2019-01-09 03:25:00,2
2019-01-09 03:26:00,2
2019-01-09 03:29:00,1
2019-01-09 03:30:00,2
2019-01-09 03:31:00,2
2019-01-09 03:33:00,2
2019-01-09 03:35:00,1
2019-01-09 03:39:00,1
2019-01-09 07:34:00,3
2019-01-09 07:38:00,2
2019-01-09 07:41:00,2
2019-01-09 07:44:00,1
2019-01-09 07:53:00,1
2019-01-09 07:56:00,1
2019-01-09 07:57:00,1
2019-01-09 08:02:00,1
2019-01-09 09:29:00,2
2019-01-09 09:30:00,2
2019-01-09 09:31:00,2
2019-01-09 09:33:00,2
2019-01-09 09:41:00,2
2019-01-09 09:42:00,2
2019-01-09 09:43:00,2
2019-01-09 09:44:00,6
2019-01-09 09:46:00,4
2019-01-09 09:47:00,2
2019-01-09 09:48:00,2
2019-01-09 09:51:00,2
2019-01-09 09:57:00,2
2019-01-09 10:05:00,2
2019-01-09 10:09:00,6
2019-01-09 10:10:00,2
2019-01-09 10:11:00,2
2019-01-09 10:12:00,4
2019-01-09 10:13:00,2
2019-01-09 10:14:00,4
2019-01-09 10:16:00,2
2019-01-09 10:18:00,2
2019-01-09 10:19:00,2
2019-01-09 10:21:00,2
2019-01-09 10:30:00,2
2019-01-09 10:37:00,2
2019-01-09 10:38:00,2
2019-01-09 10:40:00,2
2019-01-09 10:42:00,2
2019-01-09 10:56:00,3
2019-01-09 10:58:00,2
2019-01-09 10:59:00,2
2019-01-09 11:00:00,3
2019-01-09 11:01:00,8
2019-01-09 11:02:00,2
2019-01-09 11:03:00,1
2019-01-09 11:04:00,5
2019-01-09 11:05:00,5
2019-01-09 11:06:00,3
2019-01-09 11:07:00,6
2019-01-09 11:08:00,2
2019-01-09 11:09:00,4
2019-01-09 11:10:00,6
2019-01-09 11:12:00,4
2019-01-09 11:13:00,6
2019-01-09 11:17:00,2
2019-01-09 11:18:00,2
2019-01-09 11:20:00,2
2019-01-09 11:21:00,2
2019-01-09 11:30:00,2
2019-01-09 11:31:00,2
2019-01-09 11:33:00,2
2019-01-09 11:34:00,2
2019-01-09 11:43:00,2
2019-01-09 11:44:00,2
2019-01-09 11:45:00,2
2019-01-09 11:47:00,2
2019-01-09 11:58:00,2
2019-01-09 12:00:00,2
2019-01-09 12:01:00,2
2019-01-09 12:02:00,2
2019-01-09 12:14:00,2
2019-01-09 12:15:00,2
2019-01-09 12:17:00,2
2019-01-09 12:19:00,2
2019-01-09 13:09:00,2
2019-01-09 13:10:00,2
2019-01-09 13:12:00,4
2019-01-09 13:14:00,2
2019-01-09 13:15:00,2
2019-01-09 13:17:00,2
2019-01-09 13:21:00,2
2019-01-09 19:29:00,1
2019-01-09 19:31:00,1
2019-01-09 19:34:00,1
2019-01-09 19:37:00,2
2019-01-10 03:47:00,1
2019-01-10 03:50:00,2
2019-01-10 03:55:00,1
2019-01-10 04:02:00,1
2019-01-10 04:06:00,2
2019-01-10 04:11:00,2
2019-01-10 04:13:00,1
2019-01-10 04:18:00,2
2019-01-10 07:58:00,4
2019-01-10 08:01:00,2
2019-01-10 08:02:00,2
2019-01-10 08:05:00,2
2019-01-10 08:07:00,1
2019-01-10 08:10:00,4
2019-01-10 08:13:00,2
2019-01-10 08:16:00,2
2019-01-10 08:19:00,1
2019-01-10 11:11:00,2
2019-01-10 11:15:00,2
2019-01-10 11:19:00,2
2019-01-10 11:23:00,2
2019-01-10 11:36:00,2
2019-01-10 11:37:00,1
2019-01-10 11:38:00,3
2019-01-10 11:40:00,3
2019-01-10 11:41:00,1
2019-01-10 11:42:00,2
2019-01-10 12:04:00,2
2019-01-10 12:07:00,2
2019-01-10 12:09:00,2
2019-01-10 12:12:00,2
2019-01-10 12:57:00,2
2019-01-10 13:03:00,2
2019-01-10 13:07:00,2
2019-01-10 13:17:00,2
2019-01-11 02:57:00,1
2019-01-11 03:00:00,1
2019-01-11 03:01:00,1
2019-01-11 03:06:00,1
2019-01-11 03:20:00,2
2019-01-11 03:24:00,3
2019-01-11 03:27:00,2
2019-01-11 03:29:00,1
2019-01-11 06:42:00,5
2019-01-11 06:44:00,6
2019-01-11 06:47:00,2
2019-01-11 06:49:00,2
2019-01-11 06:51:00,2
2019-01-11 11:56:00,2
2019-01-11 11:58:00,3
2019-01-11 11:59:00,2
2019-01-11 12:00:00,1
2019-01-11 12:01:00,3
2019-01-11 12:02:00,1
2019-01-11 12:31:00,4
2019-01-11 12:32:00,4
2019-01-11 12:33:00,2
2019-01-11 12:34:00,2
2019-01-11 12:35:00,4
2019-01-11 13:14:00,2
2019-01-11 13:19:00,2
2019-01-11 13:25:00,2
2019-01-11 13:31:00,2
2019-01-11 13:46:00,2
2019-01-11 13:52:00,2
2019-01-11 13:57:00,2
2019-01-11 14:03:00,2
2019-01-11 14:06:00,2
2019-01-11 14:11:00,2
2019-01-11 14:12:00,2
2019-01-11 14:15:00,2
2019-01-11 14:18:00,2
2019-01-11 14:19:00,2
2019-01-11 14:23:00,2
2019-01-11 14:29:00,2
2019-01-11 15:29:00,2
2019-01-11 15:32:00,2
2019-01-11 15:35:00,2
2019-01-11 15:39:00,2
2019-01-11 15:42:00,2
2019-01-11 15:45:00,2
2019-01-11 15:48:00,2
2019-01-11 15:52:00,2
2019-01-11 16:16:00,2
2019-01-11 16:17:00,2
2019-01-11 16:19:00,2
2019-01-11 16:23:00,2
