25,"SELECT TOP # \ objID, ra, dec, modelMag_u, modelMag_g \ FROM \ PhotoPrimary \ WHERE \ ra BETWEEN # and # \ AND dec BETWEEN # and # \ AND type = # \ AND clean = # \ AND modelMag_u - modelMag_g < #"
2019-12-24 18:25:00,1
2019-12-24 18:26:00,2
2019-12-24 18:27:00,1
2019-12-24 18:29:00,1
2019-12-24 18:33:00,1
2019-12-24 21:36:00,1
2019-12-24 21:37:00,1
2019-12-24 21:39:00,1
2019-12-24 21:41:00,1
2019-12-24 21:43:00,1
2019-12-26 20:56:00,1
2019-12-26 21:05:00,2
2019-12-26 21:07:00,1
2019-12-26 21:16:00,1
2019-12-26 21:17:00,1
2019-12-26 21:26:00,3
2019-12-26 21:29:00,2
2019-12-26 21:30:00,1
2019-12-26 21:33:00,1
2019-12-26 21:34:00,1
