278,"SELECT TOP # a.apogee_id, cast (str (a.glon, #, #) as float) glon, cast (str (a.glat, #, #) as float) glat, a.snr, a.vhelio_avg, a.vscatter, q.teff, q.logg, q.m_h, q.alpha_m FROM apogeeStar as a JOIN dbo.fGetNearbyApogeeStarEq (#, #, #) AS b ON b.apstar_id = a.apstar_id JOIN apogeeObject as o ON a.apogee_id = o.apogee_id JOIN aspcapStar as q ON a.apstar_id = q.apstar_id"
2019-01-01 21:15:00,1
2019-01-04 21:38:00,1
2019-01-08 03:33:00,1
2019-01-08 05:02:00,1
2019-01-09 02:23:00,1
2019-01-09 02:24:00,1
2019-01-09 13:49:00,1
2019-01-10 03:06:00,1
2019-01-11 09:00:00,1
2019-01-11 14:10:00,1
2019-01-13 10:40:00,1
2019-01-17 06:48:00,1
2019-01-23 20:56:00,1
2019-01-30 07:01:00,1
2019-01-30 11:32:00,1
2019-01-31 04:23:00,1
2019-02-04 01:29:00,2
2019-02-05 01:23:00,1
2019-02-06 17:57:00,1
2019-02-08 02:42:00,1
2019-02-08 16:42:00,1
2019-02-10 05:58:00,1
2019-02-13 07:23:00,1
2019-02-13 07:25:00,1
2019-02-13 18:48:00,1
2019-02-16 16:21:00,1
2019-02-17 22:19:00,1
2019-02-19 03:36:00,1
2019-02-25 21:42:00,1
2019-02-27 12:33:00,1
2019-02-28 19:34:00,1
2019-03-01 19:56:00,1
2019-03-09 02:05:00,1
2019-03-09 19:43:00,1
2019-03-10 04:30:00,1
2019-03-11 17:38:00,1
2019-03-15 18:51:00,1
2019-03-17 02:01:00,1
2019-03-20 12:12:00,1
2019-03-20 12:14:00,1
2019-03-20 12:15:00,1
2019-03-20 12:16:00,1
2019-03-20 13:56:00,1
2019-03-20 13:57:00,1
2019-03-20 13:58:00,1
2019-03-20 14:18:00,1
2019-03-20 14:20:00,1
2019-03-22 15:13:00,2
2019-03-24 19:31:00,1
2019-03-24 19:33:00,1
2019-03-24 19:34:00,1
2019-03-24 19:44:00,1
2019-03-24 20:23:00,2
2019-03-24 20:24:00,1
2019-03-24 20:25:00,3
2019-03-24 20:26:00,3
2019-03-28 12:52:00,2
2019-03-28 12:53:00,1
2019-03-28 12:55:00,1
2019-03-28 13:07:00,1
2019-03-28 14:09:00,1
2019-03-30 14:56:00,2
2019-04-01 18:28:00,1
2019-04-02 19:10:00,1
2019-04-04 01:42:00,1
2019-04-04 01:43:00,1
2019-04-04 05:24:00,1
2019-04-04 11:41:00,1
2019-04-05 20:56:00,1
2019-04-09 09:26:00,1
2019-04-09 21:23:00,1
2019-04-17 20:50:00,1
2019-04-18 21:59:00,1
2019-04-20 18:59:00,1
2019-04-20 20:09:00,1
2019-04-22 21:04:00,1
2019-04-23 00:45:00,1
2019-04-24 08:50:00,1
2019-04-25 02:56:00,2
2019-04-25 03:02:00,1
2019-04-26 23:36:00,1
2019-04-27 09:35:00,1
2019-04-28 02:34:00,1
2019-04-29 08:06:00,2
2019-04-29 08:07:00,1
2019-05-03 00:01:00,1
2019-05-03 06:24:00,1
2019-05-03 14:50:00,1
2019-05-08 17:44:00,1
2019-05-08 21:04:00,1
2019-05-13 09:39:00,1
2019-05-13 12:23:00,1
2019-05-15 07:42:00,2
2019-05-17 05:02:00,1
2019-05-24 01:05:00,1
2019-05-24 08:59:00,1
2019-05-25 00:17:00,1
2019-05-25 00:50:00,1
2019-05-29 17:00:00,1
2019-05-30 13:30:00,1
2019-06-02 22:23:00,1
2019-06-03 08:44:00,1
2019-06-05 21:56:00,1
2019-06-08 19:21:00,1
2019-06-10 13:54:00,1
2019-06-15 00:57:00,1
2019-06-17 05:45:00,2
2019-06-20 17:42:00,1
2019-06-21 07:13:00,1
2019-06-23 07:29:00,1
2019-06-25 16:30:00,1
2019-06-27 17:07:00,1
2019-06-28 18:32:00,1
2019-07-02 08:37:00,1
2019-07-04 13:53:00,1
2019-07-06 13:49:00,1
2019-07-07 03:13:00,1
2019-07-07 16:33:00,1
2019-07-15 09:14:00,1
2019-07-15 09:15:00,1
2019-07-15 09:18:00,1
2019-07-15 09:19:00,1
2019-07-15 11:40:00,1
2019-07-15 11:41:00,1
2019-07-15 12:34:00,1
2019-07-15 13:01:00,1
2019-07-16 15:04:00,1
2019-07-18 03:50:00,1
2019-07-20 19:02:00,1
2019-07-22 05:37:00,1
2019-07-23 16:20:00,1
2019-07-25 23:11:00,1
2019-08-05 13:54:00,1
2019-08-07 14:34:00,1
2019-08-07 14:45:00,1
2019-08-07 14:48:00,1
2019-08-11 15:20:00,1
2019-08-12 09:38:00,1
2019-08-13 00:25:00,1
2019-08-16 23:57:00,1
2019-08-22 16:13:00,1
2019-08-22 20:14:00,1
2019-08-22 20:42:00,1
2019-08-23 01:47:00,1
2019-08-25 05:13:00,1
2019-08-27 20:34:00,1
2019-09-01 00:50:00,1
2019-09-01 10:43:00,1
2019-09-06 19:36:00,1
2019-09-06 19:42:00,1
2019-09-06 22:03:00,1
2019-09-13 20:42:00,1
2019-09-15 00:04:00,1
2019-09-16 02:04:00,1
2019-09-16 02:05:00,2
2019-09-16 20:07:00,1
2019-09-17 21:49:00,1
2019-09-18 23:25:00,1
2019-09-19 17:11:00,1
2019-09-19 19:12:00,1
2019-09-20 02:06:00,1
2019-09-20 12:00:00,1
2019-09-20 23:17:00,1
2019-09-21 18:10:00,1
2019-09-21 20:52:00,1
2019-09-22 20:08:00,1
2019-09-24 05:04:00,1
2019-09-24 07:20:00,1
2019-09-24 16:03:00,1
2019-09-24 16:06:00,1
2019-09-29 19:59:00,1
2019-09-30 01:52:00,1
2019-09-30 18:12:00,1
2019-10-01 10:03:00,1
2019-10-07 02:30:00,1
2019-10-07 02:31:00,1
2019-10-07 18:43:00,1
2019-10-13 17:11:00,1
2019-10-14 08:12:00,1
2019-10-16 06:55:00,1
2019-10-16 18:09:00,1
