352,"SELECT * FROM aspcapStar p, apogeeStar s WHERE (p.aspcapflag & dbo.fApogeeAspcapFlag (#) ) = # and s.apogee_id = p.apogee_id and p.apogee_id IN ()"
2019-01-15 15:07:00,2
2019-02-26 13:17:00,2
2019-02-27 13:16:00,1
2019-02-27 13:17:00,1
2019-02-27 15:19:00,2
2019-02-28 13:20:00,2
2019-03-19 09:51:00,2
2019-03-19 10:34:00,4
2019-03-19 10:35:00,2
2019-03-25 13:59:00,2
2019-03-25 14:28:00,2
2019-03-25 14:32:00,2
2019-03-25 14:38:00,2
2019-03-25 14:42:00,2
2019-03-25 15:15:00,2
2019-03-25 16:07:00,1
2019-03-25 16:08:00,1
2019-03-25 16:14:00,2
2019-03-25 16:35:00,2
2019-03-25 16:51:00,2
2019-03-26 12:35:00,2
2019-03-26 13:38:00,2
2019-03-27 15:54:00,2
2019-03-27 17:42:00,2
2019-03-28 13:54:00,2
2019-03-28 15:14:00,2
2019-03-28 15:33:00,2
2019-03-28 15:59:00,2
2019-06-05 14:06:00,22
2019-06-05 14:13:00,18
2019-06-05 15:29:00,2
2019-06-05 18:10:00,4
2019-06-07 09:09:00,2
2019-06-07 14:46:00,2
2019-06-07 15:03:00,2
2019-06-07 15:17:00,2
2019-06-07 15:24:00,2
2019-06-07 15:30:00,2
2019-06-07 15:47:00,2
2019-06-07 15:53:00,2
2019-06-07 16:25:00,28
2019-06-07 16:26:00,30
2019-06-11 13:34:00,26
2019-06-12 08:34:00,2
2019-06-12 11:30:00,30
2019-06-12 15:14:00,34
2019-06-25 10:00:00,4
2019-07-01 12:25:00,30
2019-07-03 14:44:00,2
2019-07-08 08:59:00,2
2019-07-08 09:00:00,2
2019-07-08 11:30:00,2
2019-07-12 12:10:00,36
2019-07-23 15:56:00,2
2019-07-29 15:45:00,2
2019-10-08 15:57:00,2
2019-12-03 12:39:00,2
