30,"SELECT TOP # specObjID, survey, bestobjid, z FROM SpecObj WHERE class = # AND zWarning = # AND z BETWEEN # and # AND survey = # AND htmid*# & # < (# * #)"
2019-03-28 15:42:00,1
2019-03-28 15:47:00,1
2019-03-28 15:51:00,1
2019-03-28 15:55:00,1
2019-03-28 15:56:00,1
2019-03-28 16:11:00,1
2019-03-28 16:13:00,2
2019-03-28 16:15:00,1
2019-03-28 16:19:00,1
2019-03-28 16:22:00,1
2019-03-28 16:26:00,1
2019-03-28 16:28:00,1
2019-03-28 16:29:00,2
2019-03-28 16:31:00,1
2019-03-28 16:32:00,1
2019-03-28 20:24:00,1
2019-03-28 20:25:00,1
2019-03-28 20:26:00,2
2019-03-28 20:27:00,3
2019-03-29 14:05:00,1
2019-03-29 14:06:00,1
2019-03-29 14:07:00,1
2019-03-29 14:08:00,1
2019-03-29 14:11:00,2
