29,"SELECT TOP # p.run, p.rerun, p.camCol, p.field, p.obj, cast (str (p.ra, #, #) as float) as ra, cast (str (p.[dec], #, #) as float) as dec, p.r FROM ..PhotoObj AS p JOIN dbo.fGetObjFromRect (#, #, #, #) AS b ON p.objID = b.objID WHERE (p.type = # OR p.type = #)"
2019-01-09 09:05:00,1
2019-03-14 07:29:00,1
2019-03-14 07:39:00,1
2019-04-23 12:03:00,1
2019-04-23 23:21:00,3
2019-05-12 00:39:00,1
2019-05-12 00:42:00,1
2019-05-17 05:01:00,1
2019-05-28 18:33:00,1
2019-06-17 14:47:00,1
2019-06-26 11:21:00,1
2019-07-03 08:36:00,1
2019-07-03 08:37:00,1
2019-07-31 01:52:00,1
2019-07-31 01:53:00,1
2019-08-02 09:28:00,1
2019-10-08 23:01:00,1
2019-10-09 17:00:00,1
2019-11-05 00:38:00,1
2019-12-13 11:05:00,1
2019-12-13 11:06:00,1
2019-12-13 13:45:00,1
2019-12-13 14:06:00,1
2019-12-18 06:21:00,1
2019-12-18 06:23:00,1
2019-12-18 06:25:00,1
2019-12-18 06:47:00,1
