401,"SELECT p.ObjID, p.ra, p.dec, n.distance, p.modelMag_u, p.modelMagErr_u, p.modelMag_g, p.modelMagErr_g, p.modelMag_r, p.modelMagErr_r, p.modelMag_i, p.modelMagErr_i, p.modelMag_z, p.modelMagErr_z, p.psfMag_g, p.psfMagErr_g, p.psfMag_r, p.psfMagErr_r, p.psfMag_i, p.psfMagErr_i, p.psfMag_z, p.psfMagErr_z, p.extinction_u, p.extinction_g, p.extinction_r, p.extinction_i, p.extinction_z, z.z, z.zErr, dbo.fPhotoFlagsN (flags) as flags INTO MyDB.MyTable0 FROM PhotoObj p JOIN dbo.fGetNearbyObjEq (#, #, #) n ON n.objID = p.objID, PhotoZ z WHERE p.type = # and p.objID = z.objID and ( (flags & #) ! = #) and ( (flags & #) = #) and ( ((flags & #) = #) or (p.psfMagErr_g < = #) ) and ( ((flags & #) = #) or (flags & #) = #)"
2019-06-10 15:55:00,2
2019-06-10 15:59:00,3
2019-06-10 16:01:00,1
2019-06-10 16:02:00,2
2019-06-10 16:03:00,5
2019-06-10 16:04:00,6
2019-06-10 16:05:00,6
2019-06-10 16:06:00,6
2019-06-10 16:07:00,6
2019-06-10 16:08:00,6
2019-06-10 16:09:00,5
2019-06-10 16:10:00,6
2019-06-10 16:11:00,6
2019-06-10 16:12:00,6
2019-06-10 16:13:00,6
2019-06-10 16:14:00,5
2019-06-10 16:15:00,6
2019-06-10 16:16:00,6
2019-06-10 16:17:00,6
2019-06-10 16:18:00,6
2019-06-10 16:19:00,5
2019-06-10 16:20:00,6
2019-06-10 16:21:00,6
2019-06-10 16:22:00,6
2019-06-10 16:23:00,6
2019-06-10 16:24:00,5
2019-06-10 16:25:00,6
2019-06-10 16:26:00,6
2019-06-10 16:27:00,6
2019-06-10 16:28:00,6
2019-06-10 16:29:00,5
2019-06-10 16:30:00,6
2019-06-10 16:31:00,6
2019-06-10 16:32:00,6
2019-06-10 16:33:00,6
2019-06-10 16:34:00,5
2019-06-10 16:35:00,6
2019-06-10 16:36:00,6
2019-06-10 16:37:00,6
2019-06-10 16:38:00,6
2019-06-10 16:39:00,5
2019-06-10 16:40:00,6
2019-06-10 16:41:00,6
2019-06-10 16:42:00,6
2019-06-10 16:43:00,6
2019-06-10 16:44:00,5
2019-06-10 16:45:00,6
2019-06-10 16:46:00,6
2019-06-10 16:47:00,6
2019-06-10 16:48:00,6
2019-06-10 16:49:00,4
2019-06-10 16:50:00,6
2019-06-10 16:51:00,6
2019-06-10 16:52:00,6
2019-06-10 16:53:00,6
2019-06-10 16:54:00,6
2019-06-10 16:55:00,6
2019-06-10 16:56:00,6
2019-06-10 16:57:00,6
2019-06-10 16:58:00,5
2019-06-10 16:59:00,5
2019-06-10 17:00:00,6
2019-06-10 17:01:00,6
2019-06-10 17:02:00,6
2019-06-10 17:03:00,6
2019-06-10 17:04:00,6
2019-06-10 17:05:00,6
2019-06-10 17:06:00,5
2019-06-10 17:07:00,6
2019-06-10 17:08:00,6
2019-06-12 14:33:00,1
2019-06-12 14:34:00,1
2019-06-12 14:42:00,3
2019-06-12 14:43:00,3
2019-06-12 15:07:00,3
