1293,"SELECT p.objid, p.ra, p.dec, s.class, s.z as redshift FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE s.z > # AND s.z < # AND s.class = GALAXY#"
2019-10-01 17:10:00,36
2019-10-01 17:11:00,80
2019-10-01 17:12:00,81
2019-10-01 17:13:00,3
2019-10-01 17:53:00,33
2019-10-01 17:54:00,80
2019-10-01 17:55:00,87
2019-10-01 18:33:00,85
2019-10-01 18:36:00,1
2019-10-01 18:42:00,17
2019-10-01 18:43:00,40
2019-10-01 18:44:00,60
2019-10-01 18:45:00,83
2019-10-03 20:33:00,16
2019-10-03 20:34:00,86
2019-10-03 20:35:00,89
2019-10-03 20:36:00,19
2019-10-03 20:37:00,104
2019-10-03 20:38:00,86
2019-10-03 22:14:00,2
2019-10-03 22:15:00,2
2019-10-03 22:16:00,76
2019-10-03 22:17:00,104
2019-10-03 22:18:00,21
2019-10-03 22:27:00,1
2019-10-03 22:29:00,1
