1588,"SELECT p.ra, p.dec, p.raErr, p.decErr, p.objId, p.run, p.rerun, p.camcol, p.field, dbo.fPhotoModeN (mode) as mode, nChild, dbo.fPhotoTypeN (p.type) as type, clean, flags, psfMag_u, psfMag_g, psfMag_r, psfMag_i, psfMag_z, psfMagErr_u, psfMagErr_g, psfMagErr_r, psfMagErr_i, psfMagErr_z, modelMag_u, modelMag_g, modelMag_r, modelMag_i, modelMag_z, modelMagErr_u, modelMagErr_g, modelMagErr_r, modelMagErr_i, modelMagErr_z, extinction_u, extinction_g, extinction_r, extinction_i, extinction_z, mjd from PhotoObj as p JOIN dbo.fGetObjFromRectEq (#, #, #, #) AS R ON P.objID = R.objID"
2019-01-01 01:09:00,1
2019-01-01 02:12:00,1
2019-01-01 04:44:00,1
2019-01-01 05:59:00,1
2019-01-01 06:32:00,1
2019-01-01 18:39:00,1
2019-01-01 19:37:00,1
2019-01-01 20:33:00,1
2019-01-01 20:44:00,1
2019-01-02 05:55:00,1
2019-01-02 13:50:00,1
2019-01-03 06:06:00,1
2019-01-04 03:37:00,1
2019-01-04 03:49:00,1
2019-01-04 03:57:00,1
2019-01-04 03:58:00,1
2019-01-04 04:01:00,1
2019-01-04 04:23:00,1
2019-01-04 05:00:00,1
2019-01-04 05:09:00,1
2019-01-04 17:48:00,1
2019-01-05 05:12:00,1
2019-01-05 05:24:00,1
2019-01-05 20:16:00,1
2019-01-06 02:13:00,1
2019-01-06 02:34:00,1
2019-01-06 03:20:00,1
2019-01-06 03:31:00,1
2019-01-08 02:42:00,1
2019-01-08 02:55:00,1
2019-01-08 03:23:00,1
2019-01-08 04:16:00,1
2019-01-08 20:57:00,1
2019-01-09 01:51:00,1
2019-01-10 03:32:00,1
2019-01-10 03:37:00,1
2019-01-10 05:03:00,1
2019-01-10 05:34:00,1
2019-01-11 04:47:00,1
2019-01-11 05:26:00,1
2019-01-12 04:26:00,1
2019-01-12 04:27:00,1
2019-01-12 05:41:00,1
2019-01-13 04:35:00,1
2019-01-13 05:16:00,1
2019-01-15 03:24:00,1
2019-01-15 04:10:00,1
2019-01-16 01:20:00,1
2019-01-16 03:15:00,1
2019-01-16 04:18:00,1
2019-01-17 21:04:00,2
2019-01-17 22:27:00,1
2019-01-18 03:29:00,1
2019-01-18 03:54:00,1
2019-01-18 18:45:00,1
2019-01-18 19:17:00,1
2019-01-19 19:43:00,1
2019-01-20 21:55:00,1
2019-01-22 04:17:00,1
2019-01-22 04:29:00,1
2019-01-22 04:35:00,1
2019-01-22 05:23:00,1
2019-01-23 03:45:00,1
2019-01-24 02:20:00,1
2019-01-24 02:45:00,1
2019-01-24 03:00:00,1
2019-01-24 03:06:00,1
2019-01-24 03:37:00,1
2019-01-24 03:53:00,1
2019-01-24 03:56:00,1
2019-01-24 16:33:00,1
2019-01-24 17:11:00,1
2019-01-25 03:32:00,1
2019-01-25 03:36:00,1
2019-01-25 03:55:00,1
2019-01-25 03:56:00,1
2019-01-25 13:25:00,1
2019-01-25 21:37:00,1
2019-01-25 21:56:00,1
2019-01-26 04:25:00,1
2019-01-26 04:58:00,1
2019-01-27 03:14:00,1
2019-01-27 03:23:00,1
2019-01-27 03:34:00,1
2019-01-27 04:01:00,1
2019-01-27 07:53:00,1
2019-01-27 07:54:00,2
2019-01-28 02:16:00,1
2019-01-28 06:11:00,1
2019-01-28 06:20:00,1
2019-01-28 06:39:00,1
2019-01-29 03:43:00,1
2019-01-29 19:01:00,1
2019-01-29 19:02:00,1
2019-01-29 19:03:00,1
2019-01-29 19:09:00,1
2019-01-30 02:03:00,1
2019-01-31 02:19:00,1
2019-01-31 18:25:00,1
2019-01-31 19:29:00,3
2019-01-31 19:36:00,5
