116,"SELECT TOP # s.plate, s.mjd, s.fiberid, s.z, s.zErr, s.zWarning, s.class FROM ..SpecObj as s JOIN dbo.fGetNearbySpecObjEq (#, #, #) AS b ON b.SpecobjID = S.SpecobjID WHERE s.zWarning = #"
2019-01-07 11:01:00,2
2019-01-07 11:04:00,1
2019-01-07 11:06:00,1
2019-01-07 11:13:00,1
2019-01-07 11:14:00,1
2019-01-07 11:15:00,1
2019-01-07 13:09:00,1
2019-01-08 16:22:00,1
2019-01-08 16:31:00,1
2019-01-08 16:35:00,1
2019-01-08 16:37:00,1
2019-01-08 16:39:00,1
2019-01-08 16:40:00,1
2019-01-08 16:41:00,1
2019-01-08 16:42:00,1
2019-01-28 08:19:00,1
2019-02-12 03:41:00,1
2019-02-12 03:42:00,1
2019-02-12 03:43:00,1
2019-03-01 15:59:00,1
2019-03-01 16:05:00,1
2019-03-01 16:17:00,1
2019-03-11 11:50:00,1
2019-03-12 16:26:00,1
2019-03-12 16:27:00,1
2019-03-12 16:28:00,1
2019-03-15 09:45:00,1
2019-03-25 22:42:00,1
2019-03-25 22:43:00,1
2019-03-25 22:44:00,1
2019-03-28 13:23:00,1
2019-03-28 13:24:00,1
2019-03-29 11:30:00,1
2019-03-29 14:29:00,1
2019-04-09 16:45:00,1
2019-04-15 10:15:00,1
2019-04-15 12:28:00,1
2019-04-15 12:29:00,1
2019-04-17 15:55:00,1
2019-04-17 15:56:00,1
2019-04-17 17:58:00,1
2019-04-20 05:36:00,1
2019-04-20 05:37:00,1
2019-04-20 05:38:00,1
2019-04-25 02:16:00,1
2019-04-25 16:00:00,2
2019-05-14 04:41:00,1
2019-05-14 08:32:00,2
2019-05-14 12:57:00,1
2019-05-14 12:58:00,1
2019-05-17 15:50:00,1
2019-05-29 06:33:00,1
2019-05-29 06:34:00,1
2019-05-29 06:35:00,1
2019-05-30 11:20:00,1
2019-06-04 20:13:00,1
2019-06-08 22:24:00,1
2019-06-12 01:45:00,1
2019-06-18 11:59:00,1
2019-06-18 12:00:00,1
2019-06-18 12:01:00,1
2019-06-18 12:07:00,1
2019-06-18 12:08:00,1
2019-06-18 12:09:00,1
2019-06-18 12:20:00,1
2019-06-20 14:47:00,1
2019-06-28 03:01:00,2
2019-07-01 21:37:00,1
2019-07-02 09:25:00,1
2019-07-09 06:40:00,1
2019-07-16 07:47:00,1
2019-09-13 14:02:00,1
2019-09-13 14:05:00,1
2019-09-13 14:07:00,1
2019-09-13 14:09:00,1
2019-09-13 17:52:00,1
2019-09-13 18:13:00,1
2019-09-13 18:24:00,1
2019-09-13 18:35:00,1
2019-09-13 18:48:00,1
2019-10-02 22:22:00,1
2019-10-04 20:03:00,1
2019-10-08 17:24:00,1
2019-10-16 14:30:00,1
2019-10-17 14:00:00,1
2019-11-02 00:37:00,1
2019-11-04 07:20:00,1
2019-11-05 10:29:00,1
2019-11-10 13:40:00,1
2019-11-11 20:10:00,1
2019-11-11 20:23:00,1
2019-11-11 20:25:00,1
2019-11-11 20:49:00,1
2019-11-15 08:31:00,1
2019-11-18 18:14:00,1
2019-11-18 18:17:00,1
2019-11-18 18:18:00,1
2019-11-19 16:48:00,1
2019-11-19 16:50:00,1
2019-11-20 16:12:00,1
2019-11-21 07:51:00,1
2019-11-21 07:52:00,1
2019-11-21 09:02:00,1
2019-11-28 09:09:00,1
2019-11-30 05:18:00,1
2019-12-04 00:33:00,1
2019-12-10 06:55:00,1
2019-12-18 10:21:00,1
2019-12-29 21:56:00,4
