2,"SELECT s.ObjID, s.ra, s.dec, s.l, s.b, s.psfMag_u, s.psfMag_g, s.psfMag_r, s.psfMag_i, s.psfMag_z, s.extinction_u, s.extinction_g, s.extinction_r, s.extinction_i, s.extinction_z INTO mydb.hermus_off_#_dr9_photo_f_turnoff from Star s WHERE (s.psfMag_g - s.extinction_g) between # and # AND (s.psfMag_g - s.extinction_g) - (s.psfMag_r - s.extinction_r) between # and # AND (s.psfMag_u - s.extinction_u) - (s.psfMag_g - s.extinction_g) > # AND s.dec > # AND s.dec < # AND s.ra > #+#*s.dec-#*s.dec*s.dec+#*s.dec*s.dec*s.dec AND s.ra < #+#*s.dec-#*s.dec*s.dec+#*s.dec*s.dec*s.dec AND (flags & dbo.fPhotoFlags (#) ) = # AND (flags & dbo.fPhotoFlags (#) ) = #"
2019-01-18 09:29:00,1
2019-01-18 09:35:00,1
