3132,"SELECT TOP # p.ra, p.dec, p.r, p.petroRad_r, s.z as redshift FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE s.class = # AND p.ra BETWEEN # AND # AND p.dec BETWEEN # AND # AND p.r BETWEEN # AND # AND (p.objid ! = #) AND s.z BETWEEN # AND #"
2019-03-07 16:50:00,15
2019-03-07 17:02:00,1
2019-03-07 17:06:00,1
2019-03-07 17:09:00,1
2019-03-07 17:10:00,1
2019-03-07 17:11:00,1
2019-03-11 11:53:00,1
2019-03-11 11:54:00,1
2019-03-11 17:19:00,1
2019-08-15 16:48:00,12
2019-08-15 16:49:00,4
2019-08-15 16:50:00,24
2019-08-15 16:51:00,14
2019-08-15 16:52:00,15
2019-08-15 16:53:00,12
2019-08-15 16:54:00,12
2019-08-15 17:02:00,6
2019-08-15 17:07:00,8
2019-08-15 20:55:00,12
2019-08-15 20:56:00,39
2019-08-15 20:57:00,37
2019-08-15 20:58:00,35
2019-08-15 20:59:00,41
2019-08-15 21:00:00,38
2019-08-15 21:01:00,42
2019-08-15 21:02:00,40
2019-08-15 21:03:00,36
2019-08-15 21:04:00,38
2019-08-15 21:05:00,38
2019-08-15 21:06:00,28
2019-08-15 21:07:00,38
2019-08-15 21:08:00,39
2019-08-15 21:09:00,40
2019-08-15 21:10:00,36
2019-08-15 21:11:00,32
2019-08-15 21:12:00,34
2019-08-15 21:13:00,33
2019-08-15 21:14:00,47
2019-08-15 21:15:00,46
2019-08-15 21:16:00,48
2019-08-15 21:17:00,43
2019-08-15 21:18:00,49
2019-08-15 21:19:00,47
2019-08-15 21:20:00,51
2019-08-15 21:21:00,45
2019-08-15 21:22:00,51
2019-08-15 21:23:00,47
2019-08-15 21:24:00,48
2019-08-15 21:25:00,44
2019-08-15 21:26:00,50
2019-08-15 21:27:00,45
2019-08-15 21:28:00,26
2019-10-22 13:05:00,12
2019-10-22 13:07:00,37
2019-10-22 13:08:00,37
2019-10-22 13:09:00,58
2019-10-22 13:10:00,63
2019-10-22 13:11:00,56
2019-10-22 13:12:00,63
2019-10-22 13:13:00,59
2019-10-22 13:14:00,60
2019-10-22 13:15:00,61
2019-10-22 13:16:00,62
2019-10-22 13:17:00,62
2019-10-22 13:18:00,61
2019-10-22 13:19:00,57
2019-10-22 13:20:00,55
2019-10-22 13:21:00,67
2019-10-22 13:22:00,75
2019-10-22 13:23:00,73
2019-10-22 13:24:00,73
2019-10-22 13:25:00,74
2019-10-22 13:26:00,73
2019-10-22 13:27:00,70
2019-10-22 13:28:00,74
2019-10-22 13:29:00,74
2019-10-22 13:30:00,64
2019-10-22 13:31:00,3
2019-10-22 13:32:00,1
2019-10-22 13:33:00,1
2019-10-22 13:34:00,19
2019-10-22 13:35:00,56
2019-10-22 13:36:00,39
