16,"SELECT s.ra, s.dec, s.dered_g as g, s.dered_r as r, s.err_g, s.err_r, s.flags FROM dbo.fGetNearbyObjEq (#, #, #) AS n JOIN Star AS s ON n.objID = s.objID WHERE g - r BETWEEN # AND # AND g BETWEEN # and #"
2019-02-24 06:59:00,1
2019-02-25 00:01:00,1
2019-02-25 04:06:00,1
2019-02-25 04:15:00,1
2019-02-25 20:12:00,1
2019-02-25 20:13:00,1
2019-02-25 20:14:00,1
2019-02-25 20:20:00,2
2019-02-25 20:49:00,2
2019-02-27 19:06:00,1
2019-02-27 19:44:00,1
2019-02-27 19:45:00,1
2019-03-04 19:16:00,1
2019-09-11 17:38:00,1
