612,"select p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.err_u, p.err_g, p.err_r, p.err_i, p.err_z, s.z as redshift, s.zErr as e_redshift, s.zwarning, p.petrorad_u, p.petrorad_g, p.petrorad_r, p.petrorad_i, p.petrorad_z, p.petroraderr_u, p.petroraderr_g, p.petroraderr_r, p.petroraderr_i, p.petroraderr_z from galaxy p, specobj s, dbo.fgetNearByObjEq (#, +#, #) n where p.objid = s.bestobjid and p.objid = n.objid and s.bestobjid = n.objid and (p.g BETWEEN # and #) order by p.g"
2019-01-14 10:02:00,1
2019-01-14 10:10:00,1
2019-01-14 10:24:00,1
2019-01-14 10:25:00,1
2019-01-14 10:34:00,1
2019-01-14 10:42:00,1
2019-01-14 10:57:00,1
2019-01-14 10:59:00,1
2019-01-16 04:08:00,1
2019-01-16 04:23:00,1
2019-01-16 06:15:00,1
2019-01-16 06:16:00,1
2019-01-16 07:50:00,1
2019-01-16 07:53:00,1
2019-01-16 07:54:00,1
2019-01-16 07:56:00,2
2019-01-16 07:57:00,1
2019-01-16 07:59:00,1
2019-01-16 08:03:00,1
2019-01-16 08:09:00,2
2019-01-16 08:11:00,1
2019-01-16 08:12:00,1
2019-01-16 08:13:00,1
2019-01-16 08:14:00,1
2019-01-16 08:16:00,1
2019-01-16 08:18:00,1
2019-01-16 08:19:00,1
2019-01-16 08:20:00,1
2019-01-16 08:23:00,1
2019-01-16 08:25:00,1
2019-01-16 08:27:00,1
2019-01-16 08:28:00,1
2019-01-16 08:29:00,1
2019-01-16 08:31:00,1
2019-01-16 08:32:00,3
2019-01-16 08:35:00,1
2019-01-16 08:36:00,1
2019-01-16 08:37:00,1
2019-01-16 08:38:00,1
2019-01-16 08:41:00,1
2019-01-17 07:39:00,1
2019-01-17 07:41:00,1
2019-01-17 07:43:00,1
2019-01-17 07:44:00,1
2019-01-17 07:46:00,1
2019-01-17 07:47:00,1
2019-01-17 07:48:00,1
2019-01-17 07:53:00,1
2019-01-17 07:58:00,1
2019-01-17 08:00:00,1
2019-01-17 08:01:00,1
2019-01-17 08:02:00,1
2019-01-17 08:05:00,1
2019-01-18 06:00:00,1
2019-01-18 06:05:00,1
2019-01-18 06:06:00,1
2019-01-18 06:08:00,1
2019-01-18 06:14:00,1
2019-01-18 06:22:00,1
2019-01-18 06:24:00,1
2019-01-18 06:31:00,1
2019-01-21 07:03:00,1
2019-01-21 07:06:00,1
2019-01-21 07:13:00,1
2019-01-24 07:09:00,1
2019-01-24 23:25:00,1
2019-01-31 08:11:00,1
2019-01-31 08:14:00,1
2019-01-31 08:22:00,1
2019-01-31 08:28:00,1
2019-01-31 08:32:00,1
2019-01-31 08:37:00,1
2019-01-31 08:39:00,1
2019-02-01 13:26:00,1
2019-02-01 13:34:00,1
2019-02-01 13:35:00,1
2019-02-01 13:36:00,1
2019-02-10 00:55:00,1
2019-02-10 00:56:00,1
2019-02-10 01:05:00,1
2019-02-10 01:06:00,1
2019-02-10 01:09:00,1
2019-02-10 01:12:00,1
2019-02-10 01:14:00,1
2019-02-16 11:27:00,1
2019-02-16 11:28:00,1
2019-02-16 11:33:00,1
2019-02-16 11:37:00,1
2019-02-16 11:39:00,1
2019-02-16 11:45:00,1
2019-02-16 11:47:00,1
2019-02-16 11:52:00,1
2019-02-16 11:58:00,1
2019-02-16 12:00:00,1
2019-02-16 12:01:00,1
2019-02-16 12:04:00,1
2019-02-17 10:20:00,1
2019-02-17 10:45:00,1
2019-02-17 10:54:00,1
2019-02-17 10:55:00,1
2019-02-19 12:25:00,1
2019-02-19 12:43:00,1
2019-03-28 10:29:00,1
2019-03-28 10:31:00,1
2019-03-28 10:32:00,1
2019-03-28 10:42:00,1
2019-03-28 10:43:00,1
2019-03-28 10:45:00,2
2019-05-24 16:33:00,1
2019-05-25 15:10:00,1
2019-05-26 01:13:00,1
2019-05-26 01:14:00,1
2019-05-26 01:17:00,1
2019-05-26 01:34:00,1
2019-05-26 01:39:00,1
2019-05-26 01:54:00,1
2019-05-26 02:02:00,1
2019-05-26 02:07:00,1
2019-05-26 02:09:00,1
2019-05-26 02:11:00,1
2019-05-26 02:13:00,1
2019-05-26 02:16:00,1
2019-05-26 02:18:00,1
2019-05-26 02:23:00,1
2019-05-26 02:27:00,2
2019-05-26 02:28:00,1
2019-05-26 02:29:00,1
2019-05-26 02:31:00,1
2019-05-26 02:35:00,1
2019-05-26 02:38:00,1
2019-05-26 02:57:00,1
2019-05-26 02:58:00,1
2019-05-26 03:12:00,2
2019-05-26 03:23:00,1
2019-05-26 03:46:00,1
2019-05-26 04:14:00,1
2019-05-26 04:15:00,1
2019-05-26 04:17:00,1
2019-05-26 04:19:00,1
2019-05-26 04:21:00,2
2019-05-26 04:25:00,1
2019-05-28 03:54:00,1
2019-05-28 03:56:00,1
2019-05-28 03:58:00,1
2019-05-28 03:59:00,1
2019-05-29 09:03:00,1
2019-05-29 09:07:00,1
2019-05-29 09:08:00,1
2019-05-29 10:35:00,1
2019-05-29 10:37:00,1
2019-05-29 11:00:00,1
2019-05-29 11:02:00,1
2019-05-29 11:04:00,1
2019-05-29 11:05:00,1
2019-05-29 11:08:00,1
2019-05-29 12:01:00,1
2019-05-29 12:02:00,1
2019-05-29 12:04:00,1
2019-05-29 12:05:00,1
2019-05-29 12:06:00,1
2019-05-29 12:07:00,1
2019-05-29 12:14:00,1
2019-05-29 12:15:00,1
2019-05-29 12:16:00,1
2019-05-29 12:17:00,1
2019-05-29 12:58:00,1
2019-05-30 06:55:00,1
2019-05-30 07:01:00,1
2019-05-30 07:02:00,1
2019-05-30 07:04:00,1
2019-05-30 07:06:00,1
2019-05-30 07:07:00,1
2019-05-30 07:08:00,1
2019-05-30 07:09:00,1
2019-05-30 10:30:00,1
2019-05-30 10:31:00,1
2019-06-02 01:45:00,1
2019-06-02 01:46:00,1
2019-06-02 01:47:00,2
2019-06-02 01:48:00,1
2019-06-02 01:50:00,1
2019-06-02 01:51:00,2
2019-06-02 01:52:00,1
2019-06-02 01:53:00,1
2019-06-02 01:54:00,1
2019-06-02 01:55:00,1
2019-06-02 01:56:00,1
2019-06-02 01:57:00,1
2019-06-02 01:58:00,1
2019-06-02 01:59:00,1
2019-06-02 02:00:00,1
2019-06-02 02:01:00,1
2019-06-02 02:02:00,2
2019-06-02 02:04:00,1
2019-06-02 02:05:00,1
2019-06-02 02:06:00,2
2019-06-02 02:07:00,1
2019-06-02 02:09:00,1
2019-06-02 02:10:00,1
2019-06-02 02:12:00,2
2019-06-02 02:15:00,1
2019-06-02 02:16:00,1
2019-06-02 02:17:00,1
2019-06-02 02:18:00,1
2019-06-02 02:19:00,1
2019-06-02 02:20:00,1
2019-06-02 02:21:00,1
2019-06-02 03:20:00,1
2019-06-02 03:21:00,1
2019-06-02 03:22:00,1
2019-06-02 03:24:00,1
2019-06-02 03:25:00,1
2019-06-02 03:26:00,1
2019-06-02 03:27:00,1
2019-06-02 03:28:00,1
2019-06-02 03:30:00,1
2019-06-02 03:31:00,1
2019-06-02 03:33:00,1
2019-06-02 03:34:00,1
2019-06-02 03:35:00,1
2019-06-02 03:36:00,1
2019-06-02 03:37:00,1
2019-06-02 03:38:00,1
2019-06-02 03:39:00,2
2019-06-02 03:40:00,1
2019-06-02 03:41:00,1
2019-06-02 03:42:00,1
2019-06-02 03:43:00,1
2019-06-02 03:44:00,1
2019-06-02 03:45:00,1
2019-06-02 03:46:00,1
2019-06-02 03:47:00,1
2019-06-02 03:48:00,1
2019-06-02 03:50:00,1
2019-06-02 03:51:00,1
2019-06-02 03:53:00,1
2019-06-02 03:54:00,1
2019-06-02 03:55:00,2
2019-06-02 03:57:00,1
2019-06-02 03:58:00,1
2019-06-02 03:59:00,2
2019-06-02 04:00:00,1
2019-06-02 04:02:00,1
2019-06-02 04:03:00,1
2019-06-02 04:04:00,2
2019-06-02 11:18:00,1
2019-06-02 11:19:00,1
2019-06-02 11:21:00,2
2019-06-02 11:24:00,1
2019-06-02 11:29:00,1
2019-06-02 11:30:00,1
2019-06-02 11:32:00,1
2019-06-02 11:35:00,1
2019-06-02 11:37:00,1
2019-06-02 11:40:00,1
2019-06-02 11:41:00,1
2019-06-02 11:42:00,1
2019-06-02 11:45:00,1
2019-06-04 11:49:00,1
2019-06-04 11:51:00,1
2019-06-04 11:52:00,1
2019-06-04 11:53:00,1
2019-06-04 11:54:00,1
2019-06-04 11:55:00,1
2019-06-04 11:56:00,1
2019-06-04 11:57:00,1
2019-06-04 11:58:00,1
2019-06-04 11:59:00,1
2019-06-04 12:00:00,1
2019-06-04 12:01:00,1
2019-06-04 12:02:00,1
2019-06-04 12:03:00,1
2019-06-04 12:04:00,1
2019-06-04 12:05:00,1
2019-06-04 12:06:00,2
2019-06-04 12:07:00,1
2019-06-04 12:08:00,1
2019-06-04 12:09:00,1
2019-06-04 12:10:00,1
2019-06-04 12:11:00,1
2019-06-04 12:12:00,1
2019-06-04 12:14:00,1
2019-06-04 12:16:00,1
2019-06-04 12:17:00,1
2019-06-04 12:19:00,1
2019-06-04 12:20:00,1
2019-06-04 12:22:00,1
2019-06-04 12:23:00,1
2019-06-04 12:24:00,1
2019-06-04 12:25:00,1
2019-06-04 12:26:00,1
2019-06-04 12:28:00,1
2019-06-04 12:29:00,1
2019-06-04 12:30:00,1
2019-06-04 12:31:00,1
2019-06-04 12:32:00,1
2019-06-04 12:34:00,2
2019-06-04 12:42:00,1
2019-06-04 12:43:00,2
2019-06-04 12:44:00,1
2019-06-04 12:45:00,1
2019-06-04 12:46:00,1
2019-06-04 12:47:00,1
2019-06-04 12:48:00,1
2019-06-04 12:49:00,1
2019-06-04 12:50:00,1
2019-06-04 12:51:00,2
2019-06-04 12:52:00,1
2019-06-04 12:53:00,1
2019-06-04 12:54:00,1
2019-06-04 12:55:00,1
2019-06-04 12:56:00,1
2019-06-04 12:57:00,1
2019-06-04 12:58:00,2
2019-06-11 05:12:00,2
2019-06-11 05:13:00,1
2019-06-11 06:18:00,1
2019-06-11 06:19:00,1
2019-06-11 06:20:00,1
2019-06-11 06:21:00,1
2019-06-11 06:22:00,1
2019-06-11 08:22:00,1
2019-06-11 08:23:00,1
2019-06-11 08:24:00,1
2019-06-11 08:25:00,1
2019-06-11 08:26:00,1
2019-06-11 08:34:00,1
2019-06-11 11:18:00,1
2019-06-11 11:23:00,1
2019-06-11 11:24:00,1
2019-06-11 11:29:00,2
2019-06-11 11:30:00,1
2019-06-11 11:32:00,1
2019-06-11 11:39:00,1
2019-06-11 11:40:00,1
2019-06-11 11:41:00,1
2019-06-11 11:45:00,1
2019-06-11 11:48:00,1
2019-06-11 11:49:00,1
2019-06-11 11:50:00,1
2019-06-11 11:51:00,2
2019-06-11 11:52:00,1
2019-06-11 11:53:00,1
2019-06-11 11:54:00,1
2019-06-11 11:55:00,1
2019-06-11 11:57:00,1
2019-06-11 11:58:00,1
2019-06-11 11:59:00,2
2019-06-11 12:00:00,1
2019-06-11 12:01:00,3
2019-06-11 12:02:00,1
2019-06-11 12:03:00,1
2019-06-11 12:04:00,1
2019-06-11 12:05:00,1
2019-06-11 12:06:00,1
2019-06-11 12:07:00,1
2019-06-11 12:08:00,1
2019-06-11 12:09:00,1
2019-06-11 12:11:00,1
2019-06-11 12:12:00,1
2019-06-11 12:13:00,2
2019-06-11 12:15:00,1
2019-06-11 12:20:00,1
2019-06-11 12:21:00,1
2019-06-11 12:22:00,1
2019-06-11 12:26:00,1
2019-06-11 12:27:00,1
2019-06-11 12:28:00,1
2019-06-11 12:29:00,1
2019-06-11 12:30:00,2
2019-06-11 12:31:00,1
2019-06-11 12:32:00,1
2019-06-11 12:33:00,2
2019-06-11 12:34:00,1
2019-06-11 12:35:00,1
2019-06-11 12:36:00,1
2019-06-11 12:37:00,1
2019-06-11 12:38:00,1
2019-06-11 12:39:00,1
2019-06-11 12:40:00,1
2019-06-11 12:41:00,1
2019-06-11 12:42:00,1
2019-06-11 12:44:00,1
2019-06-11 12:45:00,1
2019-06-11 12:46:00,2
2019-06-11 12:47:00,1
2019-06-11 12:48:00,1
2019-06-11 12:49:00,1
2019-06-11 12:50:00,2
2019-06-11 12:51:00,1
2019-06-11 12:52:00,1
2019-06-11 12:53:00,1
2019-06-11 12:54:00,1
2019-06-11 12:55:00,1
2019-06-11 12:58:00,1
2019-06-11 12:59:00,1
2019-06-11 14:56:00,1
2019-06-11 15:00:00,1
2019-06-11 15:01:00,1
2019-06-11 15:02:00,1
2019-06-11 15:03:00,1
2019-06-11 15:04:00,1
2019-06-11 15:05:00,1
2019-06-11 15:06:00,2
2019-06-11 15:08:00,1
2019-06-11 15:09:00,1
2019-06-11 15:10:00,1
2019-06-11 15:12:00,2
2019-06-11 15:13:00,1
2019-06-11 15:14:00,1
2019-06-11 15:16:00,1
2019-06-11 15:17:00,2
2019-06-11 15:18:00,1
2019-06-11 15:19:00,1
2019-06-11 15:20:00,1
2019-06-11 15:21:00,2
2019-06-11 15:28:00,1
2019-06-11 15:29:00,1
2019-06-11 15:30:00,1
2019-06-11 15:31:00,1
2019-06-11 15:32:00,1
2019-06-11 15:33:00,1
2019-06-11 15:34:00,1
2019-06-11 15:35:00,2
2019-06-11 15:36:00,1
2019-06-11 15:37:00,1
2019-06-11 15:38:00,2
2019-06-11 15:39:00,1
2019-06-11 15:40:00,1
2019-06-11 15:41:00,2
2019-06-11 15:43:00,2
2019-06-11 15:45:00,2
2019-06-11 15:46:00,1
2019-06-11 15:47:00,2
2019-06-11 15:48:00,1
2019-06-11 15:49:00,2
2019-06-11 15:50:00,1
2019-06-11 15:51:00,1
2019-06-11 15:52:00,2
2019-06-11 15:53:00,1
2019-06-11 15:54:00,1
2019-06-11 15:55:00,1
2019-06-11 15:56:00,1
2019-06-11 15:57:00,1
2019-06-11 15:58:00,1
2019-06-11 15:59:00,1
2019-06-11 16:00:00,1
2019-06-11 16:03:00,1
2019-06-11 16:05:00,1
2019-06-11 16:06:00,2
2019-06-11 16:07:00,1
2019-06-11 16:08:00,2
2019-06-11 16:09:00,1
2019-06-11 16:10:00,1
2019-06-11 16:11:00,1
2019-06-11 16:12:00,1
2019-06-11 16:13:00,1
2019-06-11 16:14:00,1
2019-06-11 16:15:00,2
2019-06-11 16:16:00,1
2019-06-11 16:17:00,1
2019-06-11 16:19:00,1
2019-06-11 16:46:00,1
2019-06-11 16:47:00,1
2019-06-11 16:48:00,1
2019-06-11 16:49:00,2
2019-06-11 16:50:00,1
2019-06-11 16:51:00,1
2019-06-11 16:52:00,1
2019-06-11 16:53:00,2
2019-06-11 16:54:00,1
2019-06-11 16:55:00,1
2019-06-11 16:56:00,1
2019-06-11 16:57:00,2
2019-06-11 16:58:00,1
2019-06-11 16:59:00,1
2019-06-11 17:01:00,1
2019-06-11 17:02:00,1
2019-06-11 17:03:00,1
2019-06-11 17:04:00,1
2019-06-11 17:06:00,1
2019-06-11 17:08:00,1
2019-06-11 17:09:00,2
2019-06-11 17:10:00,1
2019-06-11 17:11:00,1
2019-06-11 17:20:00,1
2019-06-11 17:21:00,2
2019-06-11 17:22:00,1
2019-06-11 17:24:00,1
2019-06-11 17:25:00,1
2019-06-11 17:26:00,1
2019-06-11 17:30:00,1
2019-06-11 17:31:00,2
2019-06-11 17:32:00,1
2019-06-11 17:34:00,1
2019-06-11 17:44:00,1
2019-06-15 15:18:00,1
2019-06-15 15:20:00,1
2019-06-15 20:09:00,1
